"school_id" "gender" "immigration" "language" "hisced" "grade_rep" "joy_read" "pisa_difficulty" "competitiveness" "fear_failure" "resilience" "belonging" "bullied" "home_poss" "cult_poss" "edu_resources" "family_wealth" "ESCS_status" "teacher_support" "emo_sup" "math" "read" "scie"
"129" 75600028 1 1 2 6 0 0.5915 -1.272 -1.7009 0.8794 1.2011 0.4829 -0.7823 0.082 0.2269 -0.1357 -0.3153 0.453 0.4394 1.0346 652.763 609.954 634.198
"131" 75600108 1 1 2 5 0 0.0127 0.2705 -0.9792 -0.4342 -1.0583 -0.357 0.2907 -0.0124 -0.7415 -0.1357 0.5626 0.2105 -0.4883 -1.5824 600.478 606.818 659.112
"132" 75600184 1 1 0 3 1 -0.8176 -0.8863 0.7871 0.4637 -0.0614 0.6401 0.8615 0.4107 1.1953 -0.1357 -0.0826 0.2614 1.314 -0.6576 421.179 433.18 496.237
"134" 75600117 1 1 2 6 0 -1.2321 0.2705 -0.733 -0.9823 0.399 0.6818 -0.7823 0.7116 1.1953 1.1793 -0.1587 1.0918 -0.2327 0.2169 607.381 519.309 561.87
"135" 75600155 1 1 0 4 0 -2.7114 1.9717 0.7871 -1.109 2.3693 2.7249 -0.7823 0.7332 -0.474 -0.6122 1.945 0.4248 0.5488 1.0346 629.341 552.433 543.563
"137" 75600112 1 1 0 2 0 -0.2327 -0.6346 -0.5707 0.4637 0.0501 -0.2799 2.07 -0.5301 -0.6541 -0.5492 0.0667 -1.4526 -0.2023 -1.5824 366.155 432.342 424.679
"138" 75600180 0 3 2 6 1 0.1298 0.2705 -0.9792 -0.3799 -0.144 -0.357 1.1625 0.8238 0.2975 1.1793 0.8897 -0.0448 -0.7857 -0.6576 441.111 362.025 409.008
"139" 75600177 0 2 2 2 0 1.7513 -1.272 -1.1146 -0.9823 1.1268 0.7984 0.2907 0.1954 -0.4999 0.1806 0.568 -1.2075 1.314 1.0346 543.08 585.314 491.496
"141" 75600068 1 2 2 5 1 -0.7215 -0.0545 0.7871 1.8905 0.8496 -0.6693 2.07 0.2184 0.6561 -0.4903 0.2605 -0.2045 1.314 1.0346 468.214 441.347 408.551
"144" 75600034 1 3 2 5 1 -0.6146 2.21 0.1956 1.1422 -0.3595 -0.9156 1.1625 -0.609 0.1731 -0.6853 -0.1551 -0.6396 0.4394 -1.1847 354.97 338.195 304.974
"146" 75600176 1 2 2 2 0 0.4607 -0.2888 -2.345 0.7405 0.4398 0.1768 -0.7823 -0.0622 -1.8107 -0.1357 1.4617 -0.6664 1.314 1.0346 464.397 460.012 443.69
"147" 75600178 1 3 2 6 1 -1.9715 -0.5536 -0.1401 -0.687 -2.0889 0.1935 2.0327 -0.7108 -1.8598 -1.2622 0.1524 0.511 -0.1719 -1.1847 493.533 321.637 378.464
"149" 75600052 0 1 0 5 0 -0.6146 0.7323 -0.9792 -0.9295 -0.4531 1.4903 0.1462 -0.6595 -0.3819 -0.5492 -0.578 -0.6256 -0.9422 1.0346 444.141 323.39 367.355
"150" 75600017 1 1 2 5 1 0.3171 -0.0545 -0.357 -0.4342 0.8236 3.22 -0.7823 -0.2106 0.3555 -1.0527 -0.6564 -0.471 1.314 1.0346 342.291 395.985 414.21
"151" 75600123 0 2 0 3 0 -1.4526 1.6524 0.2653 -0.6133 -0.8109 -1.4576 1.1625 -1.4393 -1.8598 -1.0118 -0.7801 -1.3564 0.0838 -1.2947 405.895 416.645 451.719
"155" 75600081 1 2 2 5 0 -0.3571 0.2705 0.7871 0.5949 -0.8738 -1.2556 0.8233 -0.6038 -0.338 -1.0193 -0.2321 -0.8325 0.1155 -1.4861 552.755 521.143 578.913
"158" 75600082 0 1 0 6 0 -0.1075 -1.272 -0.9792 -1.8939 1.1497 1.4326 -0.7823 0.1516 -0.0502 0.1806 -0.3113 1.0512 -2.7106 1.0346 665.766 669.773 616.52
"159" 75600087 0 1 2 6 0 1.5482 0.2705 0.1956 0.4637 0.7396 -0.3184 -0.7823 1.9248 1.1953 1.1793 1.5516 1.3668 0.4394 -0.6576 573.999 556.18 577.379
"162" 75600036 1 3 2 4 0 -0.4736 0.7192 0.7871 -0.9823 -0.8386 0.6818 -0.7823 -0.4704 -1.2227 -1.0118 0.1998 -0.6535 0.7015 1.0346 611.103 589.423 646.989
"163" 75600122 0 1 0 3 0 2.0787 -0.5536 0.1956 -1.1597 0.0018 -0.6913 -0.7823 -0.5903 -1.8598 -0.4396 -0.0168 0.1143 -0.5488 1.0346 572.332 527.261 606.285
"164" 75600176 1 1 2 6 0 -0.3253 0.2705 0.1956 -0.7985 2.3693 -0.2859 1.4721 2.0248 1.075 1.1793 1.8579 1.449 -0.7769 1.0346 545.733 547.328 539.378
"165" 75600093 1 2 2 5 0 -0.7077 0.2705 0.571 -0.6133 0.7872 0.0682 0.2907 -0.4656 -0.3819 0.1806 -0.2101 -0.7623 0.7628 -0.9167 627.72 559.893 528.572
"166" 75600223 1 1 2 6 0 -2.7114 1.0558 2.0054 0.052 0.7251 0.996 -0.7823 -0.344 -0.2956 1.1793 -0.1115 -0.3608 -1.555 1.0346 497.58 339.862 411.081
"168" 75600110 1 1 0 6 0 -0.6185 -0.8863 -2.345 -1.8939 2.3693 1.4685 -0.7823 0.3276 0.0213 -0.1357 0.9508 0.5112 0.7628 1.0346 484.218 426.249 478.973
"170" 75600036 0 1 0 3 0 -0.8176 0.8232 -0.5707 -0.7592 -0.5176 -1.0523 1.1211 -0.3513 -1.8598 -0.6122 0.7618 -0.896 0.7015 0.5029 537.029 388.384 443.243
"171" 75600201 1 2 0 5 0 -1.9715 -0.7816 2.0054 -0.4939 2.3693 1.4903 -0.7823 -0.4533 -0.0971 1.1793 -0.1125 -0.5383 -0.5 0.6364 493.209 407.824 401.496
"172" 75600177 1 1 2 6 1 -0.1542 1.6524 0.1956 -0.687 -0.0614 0.0195 -0.7823 0.5485 0.0423 -0.1357 0.9098 0.2926 0.4522 1.0346 513.42 374.685 440.501
"175" 75600219 1 2 2 6 0 -0.2087 -0.2888 1.1811 -0.4342 0.8021 0.9423 -0.7823 0.7625 0.872 1.1793 0.4817 0.6296 0.1597 0.2127 666.495 686.927 668.898
"176" 75600081 1 1 2 4 0 -1.6062 1.9717 -0.733 1.0109 -1.3068 0.3241 -0.7823 0.0803 0.1528 -0.4903 0.4391 -0.157 0.7628 -1.2947 437.303 464.38 486.591
"179" 75600170 1 1 2 1 0 -1.9715 -1.272 0.1956 -1.8939 0.7512 -1.435 -0.7823 -0.1023 -0.7888 -1.2622 0.7153 -1.4389 0.0483 0.2127 420.391 406.563 452.533
"180" 75600121 0 1 0 4 0 -2.7114 -0.8863 1.1811 1.1422 0.3858 -0.0845 -0.7823 0.4106 -0.0502 1.1793 0.7525 -0.018 0.2148 1.0346 481.018 445.7 382.454
"181" 75600097 1 1 2 6 0 0.638 0.2705 -0.2661 0.4637 -0.8386 -0.4894 -0.7823 -0.3852 -0.1725 -0.4903 -0.6085 0.7585 -2.1621 -0.6576 575.385 538.03 608.452
"183" 75600109 0 1 2 5 0 -0.1241 -0.2888 2.0054 1.1422 0.2883 -0.357 -0.7823 -0.5319 -1.8107 -0.1357 -0.0558 0.0345 -0.5973 1.0346 672.319 598.059 621.257
"184" 75600219 1 1 0 5 0 -1.0555 -0.6346 2.0054 -1.2792 0.4152 0.9264 0.2907 0.0197 -0.474 -0.6122 -0.2047 0.1862 -0.2023 0.5029 639.405 605.999 621.773
"185" 75600226 1 1 2 5 0 0.1702 -0.0545 0.7871 1.4083 0.523 -1.07 2.9705 -0.2559 -0.3819 0.1806 0.2481 -1.8017 0.3485 0.3622 438.129 349.354 389.812
"187" 75600074 0 1 2 6 0 -1.4526 0.2705 -0.9792 0.4637 0.7872 -0.3184 1.4721 -0.2405 -0.1932 -0.4903 0.0057 0.7881 0.1597 -0.6576 516.42 500.25 457.169
"189" 75600139 0 1 0 6 0 1.1914 -0.8863 -0.2047 -0.4342 -0.1433 0.9423 -0.7823 1.843 1.1953 -0.1357 1.3006 1.091 0.0703 1.0346 750.333 727.166 732.128
"190" 75600149 1 1 2 6 0 1.2316 0.2705 2.0054 -1.1858 -0.0614 0.7984 -0.7823 -0.4907 -0.7415 -0.1357 -0.3343 0.1564 0.3485 0.6402 494.286 552.933 565.123
"193" 75600168 1 1 2 6 0 0.4956 0.2705 -0.2661 0.4637 -1.3013 0.2805 1.2618 0.0085 -0.2956 0.0477 0.5317 0.9906 0.2727 0.2169 586.782 621.214 562.36
"196" 75600037 0 1 0 5 0 -0.7553 0.2705 -0.9792 -0.687 -0.0614 0.3018 -0.7823 0.7178 1.1953 -0.1357 0.0993 0.4631 0.4394 1.0346 627.014 583.947 469.077
"198" 75600211 1 1 2 5 0 -0.5753 0.2705 0.1956 -0.4342 0.7657 -0.3184 -0.7823 -0.2135 -1.2227 -0.4903 0.3242 0.267 -1.3684 1.0346 504.257 409.497 380.247
"200" 75600212 1 1 2 6 0 0.5046 0.2705 -0.733 0.052 -0.4909 -0.6054 1.4454 -1.8305 -1.1969 -1.3835 -1.5694 -0.5671 0.2148 -0.6576 543.407 547.079 546.137
"203" 75600099 0 1 0 3 1 1.7513 -0.7816 -0.2661 1.8905 -1.5166 -1.1832 0.2907 -1.2709 -0.6541 -0.6122 -1.2806 -1.5488 -0.0348 0.3657 465.108 492.913 542.281
"204" 75600166 1 1 0 4 0 -0.1738 0.8232 -0.2661 -0.687 -0.0614 0.6818 -0.7823 0.7887 0.9524 1.1793 -0.1699 0.614 -0.3971 1.0346 539.593 501.54 532.667
"205" 75600026 0 1 0 4 0 -0.5621 -0.2888 -0.8705 -0.4939 0.5459 0.6678 0.2907 0.8995 -0.0502 1.1793 1.4386 -0.053 0.2148 1.0346 533.858 455.954 481.069
"207" 75600039 0 1 0 5 0 0.9011 0.2705 0.1956 -0.687 0.3858 0.9331 0.1462 0.4729 0.8034 -0.1357 0.033 0.4174 -1.3345 0.5029 637.273 633.558 698.217
"208" 75600070 0 1 2 4 0 -0.4556 -0.2888 -0.9792 -1.8939 0.0501 0.7289 -0.7823 -1.1278 -0.1052 -1.0118 -0.8551 -1.2566 -2.7106 1.0346 339.384 449.896 366.613
"209" 75600040 1 1 0 5 0 -1.9715 0.2705 -0.2661 0.052 -0.0614 0.3018 1.1625 -0.3377 -0.7888 -0.6122 0.2152 -0.3888 1.314 0.6364 392.036 459.59 458.864
"210" 75600028 1 2 2 5 0 0.0127 0.8232 -0.6888 -0.687 -0.0614 -0.445 -0.7823 0.0014 -0.358 0.0477 0.17 -0.4025 -0.5973 0.6402 484.654 463.257 497.093
"211" 75600191 1 1 0 5 0 -1.9715 -0.8863 2.0054 -0.13 -0.8738 0.9683 0.2907 -0.9345 -0.6541 -1.2622 -0.0446 -0.9607 -1.3583 -1.3914 695.254 588.287 563.992
"214" 75600096 0 1 0 4 0 -0.6483 0.2705 0.1956 0.4637 0.8236 -0.3184 0.2907 -0.0937 -0.0971 1.1793 -0.0643 -0.7104 0.039 1.0346 536.116 565.042 478.36
"216" 75600218 0 1 0 6 0 -0.9395 0.8232 -2.345 0.1097 -0.0614 2.7249 0.2907 -0.0298 -0.3819 -0.6122 0.1278 0.6833 1.314 -1.2947 439.872 452.485 478.851
"220" 75600211 1 1 2 4 0 0.0127 0.8232 -0.5707 0.052 -0.8109 -0.445 0.8615 -0.1954 -1.8598 1.1793 0.3072 -0.2744 1.314 1.0346 519.867 470.449 444.614
"221" 75600220 0 2 2 2 1 0.7995 0.2705 -0.2661 -0.13 0.4269 1.9816 -0.7823 -0.6585 -1.4643 1.1793 -0.4613 -1.5822 1.314 1.0346 470.244 475.367 513.756
"223" 75600070 1 3 2 6 0 -0.1315 1.2958 0.0113 -1.8939 0.8998 1.4326 -0.7823 0.3251 0.0282 -0.4903 0.9508 0.5265 -0.2023 1.0346 463.37 364.961 376.79
"226" 75600065 1 1 2 5 0 0.2641 -1.272 -2.345 -1.8939 2.3693 -0.799 -0.7823 -1.0955 -1.8598 -1.2622 -0.0271 -1.082 -2.7106 1.0346 438.771 379.514 397.33
"229" 75600212 0 1 2 3 0 -0.1542 1.0453 -0.6888 0.052 -0.0129 -0.0916 -0.7823 -0.1261 -1.1969 -0.1357 0.2212 -0.3388 0.7628 1.0346 545.911 436.094 492.194
