"school_id" "gender" "immigration" "language" "hisced" "grade_rep" "joy_read" "pisa_difficulty" "competitiveness" "fear_failure" "resilience" "belonging" "bullied" "home_poss" "cult_poss" "edu_resources" "family_wealth" "ESCS_status" "teacher_support" "emo_sup" "math" "read" "scie"
"197" 27600138 1 1 0 2 0 0.0127 -1.272 0.7871 -0.687 -0.4134 -0.8281 -0.7823 1.3523 0.8761 1.1793 0.7542 -0.7185 -0.5 -1.8649 616.45 593.387 646.486
"200" 27600141 0 1 0 1 0 -2.7114 0.2705 -0.8279 1.4083 1.1546 0.9517 -0.7823 -0.9054 -1.8575 -1.0118 -0.0627 -2.0569 -0.0348 -0.6576 413.741 447.826 450.165
"201" 27600085 0 2 0 5 0 1.01 -1.272 -0.9792 -0.1748 -0.8159 -2.4306 0.8233 -0.021 -0.1506 -1.2622 0.3918 -0.3203 -0.2023 -1.5824 494.097 490.092 568.228
"203" 27600123 1 1 0 5 0 0.6523 -0.4021 0.1956 -1.1858 0.4152 0.1935 0.8615 0.686 -0.3451 0.6763 0.4196 -0.229 -0.7366 -0.6576 555.38 547.738 569.538
"208" 27600215 0 1 0 6 0 0.0127 -1.272 -0.5707 -0.9823 1.1777 2.7249 -0.7823 1.2537 1.8366 1.1793 0.4554 1.4012 -0.2023 1.0346 544.41 576.41 546.516
"209" 27600016 0 1 0 4 0 1.01 -0.8863 0.0113 -1.8939 -0.096 0.3018 -0.7823 0.6296 1.8366 -1.0118 0.2442 0.1252 -1.555 0.3586 600.423 580.767 569.848
"210" 27600060 0 1 0 2 0 -1.1285 -1.272 0.4352 -0.3799 -0.0328 1.4326 -0.7823 0.2861 0.6921 -0.1357 -0.3137 -1.1072 -2.1007 1.0346 669.359 639.747 607.32
"211" 27600015 0 1 0 6 0 2.6131 -1.272 -0.4112 1.8905 0.4027 -0.8461 2.4122 1.3904 1.8366 -0.1357 0.6763 1.2521 -1.1176 0.2127 474.8 559.128 629.042
"213" 27600206 0 1 0 4 0 0.4627 -1.272 -0.2047 -1.4869 0.8236 0.9517 -0.7823 0.0184 -0.6961 -0.6853 0.1166 -0.4259 0.7628 0.3622 628.314 579.89 633.186
"214" 27600113 1 1 0 6 0 -1.2627 0.7323 -0.8705 -1.4869 -0.7448 0.3018 1.8016 2.0417 1.0047 1.1793 2.0132 1.6379 -0.7366 0.2169 639.995 524.111 525.477
