"school_id" "gender" "immigration" "language" "hisced" "grade_rep" "joy_read" "pisa_difficulty" "competitiveness" "fear_failure" "resilience" "belonging" "bullied" "home_poss" "cult_poss" "edu_resources" "family_wealth" "ESCS_status" "teacher_support" "emo_sup" "math" "read" "scie"
"65" 75200095 0 1 0 4 0 -0.1042 2.4403 2.0054 0.176 -0.7906 -0.4138 -0.7823 -0.6431 -1.2382 -0.8243 -0.3297 -0.9756 1.314 -0.6576 443.778 496.179 450.196
"66" 75200160 0 1 0 6 0 -2.7114 1.8027 2.0054 1.8905 -0.0614 -0.8223 2.0604 0.2821 -0.4983 -0.4396 1.1729 0.7797 -0.6573 1.0346 468.949 435.908 424.584
"67" 75200182 0 1 0 6 0 -0.7077 0.2705 -0.9792 0.4637 0.2883 -1.2136 -0.7823 0.6384 -0.1046 0.2646 0.8227 0.4471 -1.1481 1.0346 492.101 509.644 517.426
"68" 75200035 1 1 0 6 0 -1.3214 -0.7816 1.1811 1.1422 -0.4531 -0.7062 -0.7823 0.6551 1.3363 0.0477 0.2122 1.0623 0.385 0.2169 599.623 614.818 656.126
"69" 75200195 0 2 0 6 0 0.0841 -0.6451 -1.3898 -1.0109 0.4558 1.4685 -0.7823 0.5628 0.5278 1.1793 0.6866 0.8985 -0.7857 1.0346 340.499 420.336 427.162
"70" 75200166 0 1 0 6 0 1.4205 -0.2888 1.1811 1.8905 1.6219 0.7274 -0.7823 0.5477 0.8508 -1.2622 0.7041 0.9708 1.314 -1.3939 617.423 701.857 637.528
"72" 75200115 0 1 0 6 0 -1.6062 1.2958 -0.9792 0.5949 -0.5176 0.9683 -0.7823 1.1136 0.7639 1.1793 0.8337 1.1828 -0.3374 1.0346 415.758 489.539 442.522
"74" 75200130 1 1 0 6 0 -1.1538 0.2705 -0.2661 -1.4869 -0.0614 0.0348 0.2907 0.5095 1.0089 -0.1357 0.1179 0.9895 -0.2023 0.2169 613.959 528.588 621.603
"75" 75200041 0 1 0 6 0 0.8628 -0.8863 0.1956 1.8905 -1.0445 -0.6843 -0.7823 1.2319 1.6414 1.1793 0.2277 1.4236 0.7015 0.2169 627.279 706.232 665.293
"76" 75200166 1 1 0 6 0 -0.0052 -0.4021 1.1811 1.0671 -1.3189 -0.3485 1.1625 1.5359 1.6414 0.1806 1.1004 1.4238 0.1694 0.2169 679.249 689.272 706.674
"77" 75200076 0 1 0 6 0 0.5385 -1.272 1.2643 1.8905 -1.9584 2.7249 -0.7823 1.1211 1.0639 1.1793 0.4485 1.2831 0.6259 1.0346 556.394 601.743 587.248
"78" 75200020 1 2 3 4 0 -0.9016 0.8232 -0.5707 -0.687 -0.0614 -1.186 -0.7823 -0.8142 -1.8427 -0.8243 -0.0627 -0.61 -0.1605 -0.6576 505.9 488.864 539.565
"79" 75200172 1 1 0 6 0 0.5046 0.2705 0.1956 -0.687 -0.0614 -0.3184 -0.7823 0.069 -0.0465 0.1806 0.0089 0.216 0.039 -1.1847 541.372 504.74 470.369
"80" 75200026 1 1 0 6 0 -1.0322 -1.272 -0.9792 -1.8939 2.3693 2.7249 -0.7823 0.1925 -0.4983 -0.6853 0.7894 0.9936 1.314 1.0346 419.346 362.008 510.747
"81" 75200096 0 1 3 6 0 -0.4556 0.2705 0.1956 0.4637 -0.0614 0.6818 -0.7823 1.6987 0.8129 1.1793 2.527 1.5764 -0.2023 -0.6576 483.871 581.877 569.482
"82" 75200160 1 1 0 6 0 -0.2008 0.7192 0.1956 -0.687 0.4152 2.7249 -0.7823 1.045 0.8508 0.0477 1.0225 1.1538 0.7015 1.0346 563.51 469.745 556.697
"83" 75200104 0 1 0 6 0 0.1298 -0.4021 -0.5707 0.1097 -1.4906 0.2342 -0.7823 0.4039 0.2206 -0.3792 0.8476 0.5035 0.1597 -0.6576 492.322 534.511 465.223
"84" 75200210 1 1 0 5 0 -2.7114 -0.6451 2.0054 -1.1858 -0.1433 0.1935 0.8233 -0.1236 -0.4983 -1.0118 0.5086 0.497 0.1924 0.2169 490.882 474.554 497.254
"85" 75200026 1 1 0 6 0 -1.0555 1.1904 1.1811 0.5949 1.0885 -0.0845 -0.7823 -0.8257 -1.2382 -0.9386 -0.2586 -0.2257 -0.5575 1.0346 387.254 310.525 390.383
"87" 75200182 0 1 0 6 0 -2.7114 0.7192 2.0054 0.4637 -0.8109 0.6818 -0.7823 1.0216 0.2363 -0.3487 1.7266 0.695 0.3485 -0.6576 662.325 596.008 643.847
"90" 75200017 0 1 0 4 0 2.6131 -0.8863 0.4978 0.0208 -0.5818 -0.6659 -0.7823 0.8107 1.3363 -0.4903 0.5615 -0.0632 0.7015 -1.3914 655.278 680.802 613.599
"91" 75200095 0 1 0 6 0 -0.4556 1.1904 -0.9792 0.1097 -0.7906 0.6818 -0.7823 1.572 1.6414 0.7604 1.0822 1.4416 0.6259 -0.6576 477.708 487.491 438.228
"93" 75200135 0 1 0 6 0 -1.9715 -0.7816 -0.9372 1.8905 -1.9677 -0.7908 -0.7823 0.0478 -0.5849 -0.8243 1.1352 0.7148 0.3485 1.0346 419.342 457.778 437.522
"94" 75200073 1 1 0 6 0 -0.2704 -0.2888 -0.0326 -0.2718 -1.9443 -0.8186 -0.7823 0.3556 0.2363 -1.3216 0.5556 0.862 -0.0037 -1.3939 588.275 601.041 591.522
"96" 75200089 1 1 0 6 0 -0.3008 1.9717 -2.345 -1.1858 -0.0614 0.6818 -0.7823 0.4287 -0.2025 0.0477 1.8335 0.4492 -1.1481 1.0346 448.706 305.03 409.872
"97" 75200069 1 1 0 6 0 -0.8317 0.2705 -0.5707 0.4637 -0.0614 -0.3184 0.2907 0.6269 0.0983 0.0477 1.3393 1.0552 -0.3673 -0.6576 488.652 443.061 443.697
"98" 75200196 0 1 0 6 0 -0.9873 -0.8863 0.7871 0.4637 2.3693 -0.2649 -0.7823 -0.1546 0.0528 0.0477 -0.3922 0.7549 0.1924 1.0346 520.129 543.985 592.955
"100" 75200114 1 1 3 6 0 -1.9715 -0.4021 0.1956 -1.1858 1.0615 2.7249 -0.7823 0.4074 -0.455 0.2646 1.2107 -1.5013 -1.3345 1.0346 554.821 437.526 559.598
"102" 75200024 0 1 0 3 0 -1.3158 1.1069 -0.5707 0.052 0.3444 -0.0358 -0.7823 0.5739 0.403 1.1793 0.8098 -0.4606 0.385 1.0346 535.681 516.386 510.438
"103" 75200175 0 1 0 5 0 -0.7029 2.21 0.1244 0.8207 -0.7993 -0.7499 0.7703 0.3161 -0.2671 1.1793 0.4262 -0.3431 -0.4377 0.6364 437.57 453.604 446.295
"104" 75200073 1 2 2 5 0 0.8418 0.2705 0.7871 0.4637 -1.0583 -0.0633 0.7703 0.291 -1.2382 0.2646 0.8084 0.6712 0.4522 -0.6576 527.58 634.012 607.785
"105" 75200072 1 1 0 3 0 0.3568 1.6524 -0.9792 -0.687 -0.5176 -0.3184 -0.7823 -0.0703 0.0528 0.0477 -0.3532 -0.8121 0.7015 1.0346 512.396 513.23 433.495
"106" 75200007 1 1 0 6 0 -0.6483 -1.272 -0.8014 -1.8939 2.3693 0.705 -0.7823 -0.0729 -0.3238 -0.4396 0.3601 0.8662 -1.1481 1.0346 578.755 567.429 474.896
"107" 75200124 1 1 0 6 0 -0.2857 0.2705 -0.2047 0.1097 -0.0614 -0.4509 -0.7823 -0.4289 -1.2382 -0.8243 -9e-04 -0.211 -0.5197 -0.6576 572.046 522.987 594.113
"108" 75200145 1 1 0 6 0 0.3171 -1.272 1.2643 0.052 -0.0614 0.6818 0.7703 1.1818 0.8508 0.0477 1.1729 1.1604 0.7015 1.0346 655.642 620.312 635.751
"109" 75200162 0 1 0 6 0 -0.0996 0.2705 0.3709 -0.13 -0.5176 -0.4415 0.2907 0.217 0.5278 -1.0118 0.1677 0.5948 -0.0037 0.6402 481.666 638.069 538.975
"110" 75200210 0 1 0 6 0 0.7942 -0.0545 0.7262 0.4637 0.7877 -0.0924 -0.7823 0.9959 0.4551 1.1793 0.8367 1.4085 -0.2023 1.0346 571.625 574.744 517.767
"111" 75200005 1 1 0 6 0 -0.4754 0.2705 -0.357 0.8207 -1.0583 -1.186 1.2618 0.5837 -0.1364 -0.6122 1.3882 1.1493 -0.1605 -0.6576 540.73 526.996 573.29
"112" 75200098 1 1 0 5 0 -0.4423 0.7192 0.7871 -0.4342 -0.5989 0.6818 0.2907 -0.0245 0.1926 0.2646 -0.2347 0.5255 0.481 1.0346 500.257 478.362 513.82
"113" 75200043 1 3 2 6 0 0.2641 3.0064 2.0054 1.8905 2.3693 -1.2605 -0.7823 5.4814 1.6414 1.1793 4.7534 3.3611 1.314 1.0346 496.293 440.355 547.191
"114" 75200159 1 3 3 2 0 -0.3875 1.6524 -0.4112 0.4637 -0.4909 -0.6693 1.1625 -1.1467 -1.8427 -1.8873 -0.2508 -1.9441 1.314 -1.1847 394.492 367.156 364.879
"117" 75200167 0 1 0 6 0 1.0781 -1.272 0.7871 -0.13 0.3444 -0.3076 -0.7823 1.3145 1.6414 -0.1357 0.4937 1.4586 0.7015 1.0346 547.059 575.634 548.732
"118" 75200060 0 1 0 6 0 2.6131 -1.272 -1.7664 0.052 0.4398 1.4685 0.1462 1.1244 1.6414 1.1793 0.0484 1.3973 1.314 0.6402 559.467 659.215 548.716
"119" 75200163 1 1 0 6 0 -0.7215 0.7192 -0.6151 -1.8939 1.1262 0.6818 -0.7823 1.205 0.3536 1.1793 1.2737 1.4315 1.314 0.6402 449.059 430.22 438.755
"120" 75200191 1 2 0 3 0 -1.352 0.2705 2.0054 0.4637 -0.0614 -0.3184 0.2907 -0.1582 -0.2025 1.1793 -0.2067 0.1493 -0.0037 -1.2947 588.502 571.244 530.547
"121" 75200019 1 1 0 6 0 0.1211 -1.272 0.1956 -1.2792 -0.0614 2.7249 -0.7823 1.3345 1.3363 1.1793 1.1842 1.3734 1.314 1.0346 451.079 435.465 490.355
"122" 75200131 1 1 0 6 0 -0.2704 0.2705 0.1956 -0.687 -0.0614 0.3018 -0.7823 1.0633 1.3363 -0.1357 1.1593 1.3522 0.1694 0.2169 571.715 662.105 558.667
"123" 75200198 1 1 0 6 0 -0.2704 -0.5536 -0.733 -0.9823 0.4152 -0.3184 -0.7823 1.1813 1.0945 1.1793 0.3362 1.3623 -0.2023 -0.6576 562.834 656.93 603.136
"124" 75200107 1 1 0 6 0 -2.7114 0.7192 0.1956 1.4083 -1.0718 -0.6464 0.7703 1.2208 0.3269 0.0477 1.6153 1.4189 -0.5575 -1.58 436.848 432.553 503.732
"125" 75200189 0 1 0 6 0 -1.9715 1.2958 -0.2661 0.4637 -0.7906 -0.3184 -0.7823 0.5484 0.3269 0.0477 0.8476 1.1442 1.314 0.6364 508.47 517.192 488.924
"126" 75200129 0 1 0 2 0 -0.8176 1.1904 -0.9792 1.8905 -1.5283 -0.3184 0.2907 -0.5774 0.2363 -1.0118 -0.9621 -1.5995 0.6259 -1.3939 578.349 487.048 479.714
"127" 75200141 0 1 0 6 0 0.5935 0.2705 -0.2047 0.4637 -0.0806 -0.5015 -0.7823 1.1149 0.7639 -0.6853 0.9025 1.5057 -0.3971 1.0346 607.043 658.828 579.314
"128" 75200212 0 1 0 6 0 1.5482 -1.272 0.2653 1.3423 -1.5166 -0.392 -0.7823 -0.3992 1.1527 -1.3525 -1.2151 0.8724 0.6259 0.0116 637.077 678.41 651.371
"130" 75200100 0 1 0 6 0 -0.1542 0.7192 0.1956 0.4637 -0.5176 0.9683 -0.7823 1.0825 0.8129 0.1806 1.2901 1.2668 -0.2023 1.0346 454.579 632.523 481.447
"131" 75200132 1 1 0 6 0 -2.7114 0.2705 -0.4112 -0.687 -0.0614 0.0348 -0.7823 0.0845 -0.7441 1.1793 0.2486 0.0915 0.1597 -0.6576 605.316 534.434 598.859
"132" 75200105 0 2 0 1 0 0.0329 -1.272 -1.7664 -0.9598 1.0233 -1.2471 1.1625 -1.2485 -1.8427 1.1793 -1.2634 -2.7977 -0.4576 -1.8598 274.446 370.47 363.264
"133" 75200174 1 1 0 6 0 -1.3214 2.5529 2.0054 1.8905 -0.0614 0.9683 -0.7823 -0.2812 -0.7441 -0.3487 0.2359 -0.225 -0.2023 -0.6576 333.24 373.861 327.764
"134" 75200134 0 1 0 6 0 -0.7553 0.2705 -0.2047 -0.2006 0.4152 -0.0553 0.6725 -0.1303 -0.7441 0.0477 0.2453 0.8023 1.314 0.6364 496.864 490.6 487.567
"135" 75200167 0 1 0 6 0 -0.6278 0.2705 -0.2661 -5e-04 -0.5058 0.3241 1.1928 0.3455 0.1926 -0.4396 0.6205 0.4573 -2.1007 1.0346 504.324 537.047 471.806
"137" 75200032 1 2 3 6 0 -0.5262 0.9567 0.2653 0.4637 -1.0974 -0.2979 -0.7823 -1.0553 -0.7441 -1.4994 -0.0885 0.2137 -0.1605 -1.2947 521.728 463.157 554.721
"138" 75200047 1 1 2 2 0 -1.4526 3.0064 -0.2661 -0.3799 -0.7906 0.4951 -0.7823 -1.328 -1.2382 -1.1878 -0.7972 -1.7442 -0.3971 -0.6576 415.13 358.642 433.105
"140" 75200112 0 1 0 6 0 0.4444 1.0453 0.1956 1.8905 -0.8273 0.1554 -0.7823 1.8036 1.6414 1.1793 0.7363 1.3424 1.314 0.2169 591.511 700.816 570.736
"142" 75200005 1 1 0 4 0 -1.9715 3.0064 -0.9792 1.8905 -1.3068 -0.4415 -0.7823 -0.8751 -1.8427 -1.2622 -0.1902 -0.8347 1.314 1.0346 514.738 506.856 567.655
"143" 75200151 0 1 0 6 0 0.253 0.2705 1.1811 -0.3799 0.4398 0.9683 -0.7823 0.801 1.0651 -0.1357 -6e-04 1.326 -1.1481 0.5029 503.858 578.78 509.956
"144" 75200098 0 1 0 5 0 -0.0176 -0.6346 -0.5707 0.8207 -1.0627 -0.6693 1.2327 -0.4612 -0.7441 -1.8124 0.5189 0.1543 -0.7366 -0.9122 492.729 578.693 588.413
"145" 75200002 1 1 0 6 0 -0.4423 -1.272 -0.2047 -0.687 -0.0614 1.4326 -0.7823 0.4254 -0.0027 -0.6853 0.6417 1.2263 -0.0037 1.0346 589.849 699.954 644.605
"146" 75200020 0 1 0 5 0 2.6131 -1.272 -0.0326 0.4637 2.3693 -3.2367 1.2618 0.4209 0.3269 0.2646 0.3548 0.4198 1.314 1.0346 626.165 698.521 581.102
"148" 75200162 0 1 0 6 0 0.2694 0.7192 -0.2661 -0.687 -0.0614 0.6818 -0.7823 0.4783 1.6414 1.1793 -0.8327 0.5203 1.314 1.0346 597.62 629.051 532.089
"150" 75200096 0 3 3 6 0 -0.4556 1.0453 0.1956 0.4637 -0.0614 -0.4415 0.2907 -0.0952 -0.1364 -0.4903 -0.1396 0.4308 1.314 -0.6576 488.791 434.615 417.304
"151" 75200158 1 1 0 3 0 -0.2406 1.2958 -0.5707 -0.687 -0.0614 -0.3184 -0.7823 0.7888 0.8508 1.1793 0.1697 -0.2127 1.314 -0.6576 461.388 450.088 420.996
"152" 75200172 1 2 3 6 0 -1.7421 0.2705 -0.4631 -1.8939 1.1262 -0.1701 0.7703 -0.4866 -1.5319 -0.4903 0.1776 -1.5406 1.314 1.0346 418.597 442.685 480.213
"153" 75200214 0 1 0 4 0 -0.2875 0.2705 1.2643 1.8905 0.3444 -0.5635 0.1462 -0.4174 -0.8586 0.0477 -0.5623 -0.5829 -0.9422 1.0346 520.212 579.344 457.678
"154" 75200213 1 1 0 4 0 -2.7114 -1.272 0.7262 -1.8939 0.7251 0.4829 -0.7823 0.2471 -0.4983 -0.8243 1.1842 0.2044 1.314 1.0346 439.581 355.332 390.821
"155" 75200072 1 1 0 5 0 -0.3553 1.0453 2.0054 -0.4342 -0.0806 0.9782 -0.7823 1.8312 1.6414 1.1793 0.9454 1.0166 1.314 1.0346 487.496 492.906 459.717
"157" 75200180 0 2 0 6 0 -0.2704 0.9672 -2.345 -0.687 -0.0614 -0.3184 0.2907 1.3163 0.7212 0.6184 0.7818 1.0602 -0.2023 -0.6576 486.191 564.233 454.545
"158" 75200059 1 2 3 5 0 0.3568 0.2705 0.1956 -0.2006 -0.0614 0.7274 0.2907 -0.4989 -0.303 1.1793 -0.6576 0.2504 0.385 1.0346 599.371 615.581 586.93
"159" 75200017 0 1 0 6 0 0.4627 0.2705 0.1956 0.052 0.3858 0.9423 -0.7823 1.2522 1.3363 1.1793 0.5108 1.4322 1.314 0.6364 661.804 620.274 618.516
"160" 75200055 0 1 0 6 0 -1.2605 0.2705 -1.2263 0.052 -0.5531 -0.5635 0.7703 -0.1095 0.2363 -1.2622 0.0147 0.8752 -1.8485 0.3622 508.543 516.124 535.179
