"school_id" "gender" "immigration" "language" "hisced" "grade_rep" "joy_read" "pisa_difficulty" "competitiveness" "fear_failure" "resilience" "belonging" "bullied" "home_poss" "cult_poss" "edu_resources" "family_wealth" "ESCS_status" "teacher_support" "emo_sup" "math" "read" "scie"
"86" 5600090 0 3 2 6 0 -0.2126 1.2958 -2.345 -1.1858 -0.0614 -1.0013 -0.7823 0.0514 -1.8696 1.1793 0.6012 -0.2277 -0.0439 -0.6576 410.962 380.748 410.741
"89" 5600064 0 1 0 5 1 0.6523 0.2705 -0.6888 -0.687 -0.0614 -0.3184 0.7703 0.9043 1.8415 1.1793 -0.2036 0.0012 -0.7769 1.0346 560.456 492.998 562.301
"90" 5600296 1 2 0 6 0 -0.1119 -1.272 0.1956 0.4637 -0.0614 -0.6843 2.1776 0.1433 -0.4463 1.1793 0.2264 -0.0454 -2.0248 -0.6576 586.286 462.07 563.507
"91" 5600052 1 1 0 6 0 -0.0176 0.2705 -0.5707 0.4637 -1.0974 -0.4509 -0.7823 0.3262 0.2589 0.1806 0.2402 0.9955 -0.9422 -0.6576 719.423 651.606 653.757
"93" 5600118 0 1 0 6 0 0.1118 0.7192 -0.5707 -0.1558 0.021 0.0441 -0.7823 1.1971 0.9533 1.1793 1.0622 -0.7269 -0.9641 1.0346 508.109 465.898 511.286
"96" 5600283 0 1 2 4 0 -0.5831 1.8027 -0.9792 -0.687 -0.0614 -0.4415 0.2308 -1.5235 -1.8696 -1.1945 -1.153 -1.3566 1.314 1.0346 459.082 443.256 471.628
"97" 5600203 1 1 1 6 0 -1.0279 0.2705 0.1956 -0.2006 -0.0614 0.3241 -0.7823 1.4506 1.3903 1.1793 0.871 1.4226 1.314 -0.6576 566.933 482.95 549.817
"98" 5600127 1 1 1 6 0 -1.0555 1.2958 -0.6437 0.4637 -0.7997 -0.0845 -0.7823 0.3808 0.171 1.1793 0.3354 0.8249 -1.3245 -0.6576 455.722 414.17 492.562
"99" 5600124 1 1 0 6 0 2.6131 -1.272 0.1956 -0.4342 0.4152 -0.0553 0.7703 0.859 1.8415 1.1793 -0.4589 1.0551 -0.0037 -0.6576 641.47 609.725 623.872
"100" 5600030 1 1 0 4 0 -2.7114 -1.272 -1.2708 -1.1858 -0.4909 -0.0909 0.8615 0.3893 0.8912 1.1793 -0.4495 -0.3844 1.314 -0.6576 515.902 519.631 579.345
"102" 5600201 1 1 0 6 0 0.0342 0.2705 -2.345 -1.8939 -0.0614 0.0382 0.2907 2.1539 0.7679 -0.1357 2.5824 1.7233 1.314 -1.0657 563.204 601.447 537.178
"103" 5600085 1 1 0 5 0 -0.9655 0.2705 -0.733 1.8905 -0.0614 -0.3184 -0.7823 1.2246 1.8415 1.1793 0.2249 1.1484 1.314 1.0346 680.748 645.538 618.842
"107" 5600293 0 3 0 6 0 1.7513 -0.5536 -1.2263 0.4637 -0.2239 0.6653 0.2907 1.3433 1.8415 1.1793 0.1759 1.5471 -0.7074 0.5029 502.327 653.785 584.082
"111" 5600081 1 1 2 6 0 1.9404 -0.7816 1.2643 1.4083 0.7251 0.4458 0.2907 0.9549 0.4984 -0.237 1.0948 1.0499 1.314 0.2169 710.017 707.703 712.639
"114" 5600184 1 1 0 6 0 -1.9715 2.21 -0.8705 -0.2006 1.6219 2.7249 -0.7823 0.5028 0.311 0.0477 0.1476 0.9518 -1.1481 1.0346 418.753 362.715 386.84
"122" 5600130 1 1 0 6 0 -0.5831 -0.5536 -0.9372 -1.8939 -0.096 0.3361 -0.7823 0.4773 0.1456 1.1793 -0.0445 0.9758 -1.0628 0.6402 611.724 573.951 549.283
"123" 5600277 1 1 0 6 0 -0.4934 0.2705 2.0054 0.8794 -0.4684 -1.0418 -0.7823 0.5753 -0.7708 1.1793 1.1906 0.8334 -0.3262 -1.5824 562.004 588.16 581.001
"125" 5600026 0 1 0 4 0 0.2694 0.2705 -0.9792 -0.1558 -0.5176 0.4829 -0.7823 -0.0456 -1.8696 0.0477 0.3655 -0.1895 1.314 1.0346 592.623 652.12 646.709
"127" 5600290 1 1 1 6 0 -0.9016 0.2705 -0.733 -0.3799 0.4152 0.1935 0.2907 0.9936 0.2874 -0.4396 1.7645 1.112 0.7015 0.3622 596.299 527.286 529.766
"129" 5600273 0 1 0 6 0 0.0995 0.2705 0.1956 -0.13 -0.115 -0.3184 1.1928 0.4157 -0.2704 -0.1357 0.3531 1.1796 -2.7106 -1.3939 661.094 626.154 677.782
"134" 5600001 0 1 0 6 1 -1.4526 0.2705 -0.5707 0.1097 -0.5176 -0.4509 0.2907 -0.8959 -0.7708 1.1793 -0.926 0.2783 0.0483 -0.6576 527.976 452.094 513.385
"135" 5600200 0 1 0 6 0 0.5385 -0.5536 -0.2047 0.4637 -0.4957 0.9423 0.2907 -0.1178 -1.8696 0.0477 0.4759 0.0878 -1.6385 0.6364 597.446 654.223 647.518
"136" 5600001 0 1 0 6 0 0.0127 0.2705 -0.9792 -0.687 -1.0352 0.0544 -0.7823 -0.3205 0.0181 -0.1357 -0.3641 0.6731 0.7628 1.0346 519.872 501.253 566.671
"140" 5600109 0 1 0 6 1 0.391 -0.8863 1.2643 1.8905 -1.2865 -0.2143 1.1625 -0.3622 0.662 -0.4903 -1.0023 0.0391 -2.7106 -1.0691 477.29 426.923 402.908
"143" 5600052 1 1 1 4 0 -0.5831 0.2705 0.7871 -0.687 -0.7906 0.3241 0.2907 0.4116 -0.7708 1.1793 0.9005 -0.7131 -0.2023 -0.6576 588.883 567.535 537.018
"144" 5600089 0 1 0 5 0 -2.7114 0.5206 -0.2661 0.0208 -0.8575 0.3309 1.2327 0.0152 0.311 1.1793 -0.2383 -0.3401 0.1694 0.5029 468.387 477.618 469.317
"147" 5600123 1 1 0 6 0 -0.511 -1.272 1.2643 -0.4342 -0.2056 0.6818 -0.7823 0.071 0.311 -0.4903 -0.0406 0.9516 -1.3583 0.2127 702.931 683.892 646.16
"149" 5600001 0 1 1 4 0 -0.7215 1.6524 -0.5229 1.8905 -1.5508 -1.3559 0.2907 0.1068 0.2634 -0.6853 0.1408 -0.7013 -0.3971 1.0346 396.901 466.774 458.813
"151" 5600048 1 1 0 4 0 -0.1162 0.2705 -0.9792 -0.687 -0.0614 0.165 -0.7823 0.4068 0.1148 1.1793 6e-04 -0.6575 1.314 -0.6576 502.714 480.936 537.638
"152" 5600045 1 1 1 6 0 0.0674 -0.2888 0.7871 1.8905 -0.4957 -0.1064 0.2907 0.2101 -1.2782 1.1793 0.4524 1.0104 0.4394 1.0346 524.125 559.48 542.384
"154" 5600190 0 1 2 6 1 -1.3158 0.7192 2.0054 1.0944 0.7872 0.3018 -0.7823 1.5783 0.6302 1.1793 2.6216 0.8755 0.4522 1.0346 534.105 514.251 502.952
"160" 5600173 0 1 2 3 0 -1.1538 1.1904 0.1956 1.8905 -0.096 0.0638 1.1625 -0.2359 -0.7708 -1.5023 0.6408 -0.8471 1.314 -0.6576 462.276 422.404 432.04
"161" 5600082 1 1 0 6 0 -1.4882 0.2705 -0.9792 -0.687 -0.0614 0.0716 -0.7823 0.4641 -0.7097 1.1793 0.7459 1.0082 -0.5488 1.0346 551.639 591.172 526.219
"162" 5600224 0 1 0 6 0 0.5572 0.2705 -0.733 -0.687 -0.0614 0.6818 -0.7823 1.8492 1.8415 1.1793 0.8601 1.5589 0.0483 0.6364 631.429 617.034 637.007
"164" 5600254 0 1 0 6 0 0.4627 0.2705 -0.2047 1.1911 -0.8109 -1.1206 0.1462 0.4427 -0.1552 1.1793 0.736 1.166 -2.0248 -0.6576 541.567 575.259 605.468
"170" 5600045 1 1 0 5 0 -1.4882 0.7192 -0.733 -0.4342 0.8021 1.4903 -0.7823 1.0529 0.7145 1.1793 0.6566 1.1266 -2.1621 0.3622 580.516 499.264 500.389
"171" 5600247 1 1 0 6 0 -0.1542 0.2705 0.1956 0.4637 -0.8109 -0.6659 0.8615 2.203 1.8415 1.1793 1.6323 1.911 -1.1481 -0.6576 605.042 624.796 575.667
"172" 5600052 0 1 0 4 0 0.7546 -1.272 -0.733 -0.3799 -0.7997 0.6818 -0.7823 0.7282 -0.0809 1.1793 0.5392 -0.4391 -0.1206 -0.6576 607.945 683.161 607.765
"173" 5600115 1 1 0 6 0 -1.1538 0.2705 0.1956 0.4637 -0.0614 -0.9879 0.7703 0.5841 0.0181 1.1793 1.0622 0.6851 1.314 -0.6576 588.293 543.285 534.2
"176" 5600181 0 1 0 6 0 -0.7077 0.2705 -0.5707 0.1097 -0.8109 0.3241 0.2907 0.8982 1.1392 0.0477 0.1931 1.3837 -0.7074 -0.6576 599.02 634.653 550.663
"181" 5600173 0 1 0 6 0 -0.4629 1.6524 -1.2263 -0.3799 0.3858 0.6738 0.2907 1.0373 0.0181 1.1793 1.9556 0.8811 0.7015 -0.6576 471.656 498.006 467.157
"185" 5600133 0 1 1 4 0 -1.0562 0.7192 -0.9792 -0.687 -1.0974 -0.3184 1.2618 -1.0928 -0.5946 -1.935 -0.1349 -0.8354 1.314 -2.4468 530.58 590.233 563.132
"186" 5600246 0 1 1 6 0 2.6131 -0.2888 -0.6151 0.4637 -0.0614 -0.8053 0.2907 1.3866 0.8862 1.1793 0.9576 0.4722 -1.5447 -1.5824 445.825 455.054 453.733
"188" 5600243 1 1 1 6 0 -1.9715 2.4403 -1.5513 -0.687 -0.8109 -0.8038 -0.7823 0.6226 -1.8696 1.1793 2.1892 0.7346 -1.464 0.2169 414.597 342.507 369.13
"191" 5600173 1 1 1 6 0 -1.3532 -1.272 -0.2661 -1.8939 -0.0614 2.7249 -0.7823 0.9888 0.5798 1.1793 1.0119 0.8092 1.314 1.0346 505.66 449.412 508.51
"192" 5600120 0 1 0 5 0 -0.0841 0.2705 -0.733 0.1097 -1.0974 -0.5665 -0.7823 1.1024 -0.0753 1.1793 1.7894 0.9376 -1.4532 -1.0657 527.86 535.912 529.948
"193" 5600231 1 1 0 6 1 -0.2704 0.7192 -0.4112 -0.687 -0.5176 0.1853 -0.7823 0.5941 -0.2638 -0.3487 1.3627 1.0253 0.4394 -0.6576 455.125 430.69 470.572
"194" 5600181 0 1 1 6 0 -0.2008 0.2705 -1.2263 -0.3799 -0.7997 -0.3184 -0.7823 0.9532 0.311 1.1793 1.2919 1.1885 0.2485 -0.6576 597.31 571.116 555.506
"196" 5600014 1 1 1 6 0 -1.9715 1.2958 2.0054 1.8905 -0.4801 0.0498 1.203 3.152 1.1392 1.1793 4.2678 2.2045 -2.0248 -2.4468 523.923 453.426 419.46
"201" 5600180 0 3 2 6 0 -1.0322 0.7192 -0.5707 0.1097 -1.1268 -0.7814 -0.7823 0.3307 0.171 -0.1357 0.5318 1.0614 -0.7453 -0.6576 536.513 510.203 547.097
"202" 5600080 1 1 1 4 0 0.0127 0.2705 -0.2661 -0.4342 -0.8109 -0.4415 0.2907 0.1643 -0.4882 -0.6853 0.4321 -0.0195 -1.1846 -0.6576 599.876 593.065 634.67
"204" 5600290 1 2 3 4 0 -1.0279 0.7192 0.1956 -0.9295 -0.5176 -0.3184 -0.7823 -0.084 -1.2782 -0.6853 0.6611 -1.0016 1.0786 -0.6576 505.926 465.735 494.545
"205" 5600006 1 1 1 5 0 -0.9016 0.2705 -0.2047 -1.8939 -0.0614 0.4893 0.2907 1.2514 0.6302 1.1793 1.0739 0.8303 -0.1931 1.0346 398.732 464.115 467.959
