"id" "region" "type_city" "type_school" "fund1" "fund2" "fund3" "fund4" "info1" "info2" "info3" "requirement1" "requirement2" "valuation1" "valuation2" "exchange" "culture" "intercultural_experiences" "foreign_languages" "gender1" "gender2" "soc_eco_disadvantage" "num_grade" "computer_stud" "connection" "portable" "whiteboards" "projectors" "computer_teac" "teach_f1" "teach_p1" "teach_f2" "teach_p2" "teach_f3" "teach_p3" "teach_f4" "teach_p4" "teach_f5" "teach_p5" "class" "left" "language_lessons" "help1" "help2" "help3"
"40" 38000041 "Toscana" "small town" 0 40 35 0 25 "agree" "disagree" "agree" "always" "never" "school initiative" "school initiative" 1 1 1 1 133 31 5 164 100 100 20 20 20 15 129 4 77 4 0 0 115 4 7 0 "21-25 students" 0 0 1 0 1
"41" 38000042 "Bolzano" "town" 0 95 5 NA NA "disagree" "disagree" "agree" "never" "always" "school initiative" "mandatory" 1 1 1 1 153 507 12 158 23 23 0 5 40 7 90 6 90 1 0 1 90 3 3 0 "16-20 students" NA 1 1 1 1
"42" 38000043 "Bolzano" "town" 0 70 30 NA NA "disagree" "agree" "disagree" "never" "always" "school initiative" "mandatory" 0 1 0 0 NA NA 10 NA NA NA 2 1 30 30 73 26 NA 24 NA NA NA NA 5 NA "16-20 students" NA 0 1 1 1
"43" 38000044 "Italy" "small town" 0 47 43 0 10 "agree" "strongly disagree" "strongly disagree" "always" "always" "mandatory" "mandatory" 1 0 1 1 555 547 1 248 125 125 36 10 48 60 117 8 99 8 0 0 117 8 1 0 "26-30 students" 1 1 0 1 1
"44" 38000045 "Bolzano" "small town" 0 80 20 0 0 "disagree" "agree" "disagree" "never" "sometimes" "school initiative" NA 0 0 0 1 60 110 10 36 22 22 4 0 10 5 NA NA NA NA NA NA NA NA NA NA "16-20 students" 0 1 1 0 1
"45" 38000046 "Italy" "city" 0 26 7 1 66 "agree" "disagree" "disagree" "sometimes" "sometimes" "mandatory" "no" 0 1 1 1 383 2 70 75 100 100 50 15 20 10 53 5 43 3 0 0 45 NA 0 0 "21-25 students" 3 1 0 1 1
"46" 38000047 "Italy" "town" 0 70 20 NA 10 "agree" "agree" "strongly disagree" "always" "sometimes" "no" "no" 0 1 0 1 420 258 77 125 80 80 10 5 5 80 89 NA 89 NA 79 NA 79 NA 0 NA "16-20 students" 1 1 0 0 0
"47" 38000048 "Italy" "town" 0 20 60 0 20 "strongly agree" "disagree" "disagree" "always" "sometimes" "school initiative" "mandatory" 1 1 1 1 721 881 30 286 254 254 0 30 30 10 178 10 153 NA 28 NA 150 NA 2 0 "26-30 students" 10 0 1 1 1
"48" 38000049 "Trento" "small town" 0 80 10 5 5 "agree" "agree" "agree" "always" "never" "mandatory" "mandatory" 1 1 1 1 180 320 2 120 100 NA 50 35 40 150 80 15 60 8 0 13 80 2 5 0 "16-20 students" NA 1 1 1 1
"49" 38000050 "Italy" "large city" 1 0 100 0 0 "strongly agree" "agree" "disagree" "sometimes" "sometimes" "school initiative" "school initiative" 0 1 0 0 NA NA NA NA 15 15 0 4 7 18 NA NA NA NA NA NA NA NA NA NA "15 students or fewer" 6 1 1 1 0
