"school_id";"gender";"language";"hisced";"grade_rep";"fear_failure";"belonging";"bullied";"home_poss";"cult_poss";"edu_resources";"family_wealth";"ESCS_status";"teacher_support";"emo_sup";"learn_time_math";"learn_time_read";"learn_time_scie";"math";"read";"scie";"class_size";"stud_teach_ratio";"short_edu_mat";"short_edu_staff";"stu_behav";"teach_behav";"teach_multicult"
75600007;1;3;6;0;-1.4869;0.7364;-0.7823;-0.1324;-0.607;-0.6853;0.0103;-0.2889;-0.819;1.0346;275;330;110;424.706;321.088;356.143;23;14.7321;0.1031;-1.4551;0.6764;0.4883;-1.0542
75600007;0;2;1;0;0.176;0.8817;-0.7823;-0.0947;0.0505;1.1793;-0.5178;-1.102;0.481;1.0346;225;270;90;485.143;498.813;511.117;23;14.7321;0.1031;-1.4551;0.6764;0.4883;-1.0542
75600007;1;2;2;0;-0.687;0.5698;-0.7823;0.2;0.0127;1.1793;0.4027;-0.2965;0.7015;0.5029;225;270;90;524.655;431.567;398.934;23;14.7321;0.1031;-1.4551;0.6764;0.4883;-1.0542
75600007;1;2;1;0;-1.8939;0.4221;-0.7823;-1.3897;-1.8107;-1.0118;-1.0361;-2.4408;-0.5488;-1.5824;270;270;90;453.408;469.465;517.923;23;14.7321;0.1031;-1.4551;0.6764;0.4883;-1.0542
75600007;0;2;0;1;-1.4242;-0.7239;-0.7823;-0.7494;-1.8107;-0.9191;0.0675;-2.7057;1.314;0.6364;270;270;90;355.681;359.734;320.026;23;14.7321;0.1031;-1.4551;0.6764;0.4883;-1.0542
75600007;1;2;6;0;-1.8939;-1.806;1.1625;-0.6331;-0.7415;-1.0118;0.0066;-0.5927;-1.464;-1.3914;350;450;150;436.377;444.396;467.156;23;14.7321;0.1031;-1.4551;0.6764;0.4883;-1.0542
75600007;1;2;2;0;-0.687;-0.7722;0.7703;-0.4949;-0.7415;0.0477;-0.0765;-1.4859;1.314;-1.7671;270;270;90;454.124;462.577;481.048;23;14.7321;0.1031;-1.4551;0.6764;0.4883;-1.0542
75600007;0;3;6;0;-0.0845;-0.682;1.1928;-0.1807;-0.031;0.0477;-0.1004;-0.1825;0.1924;-0.6576;225;270;135;501.332;512.421;509.818;23;14.7321;0.1031;-1.4551;0.6764;0.4883;-1.0542
75600008;1;2;4;0;-1.0109;1.4685;0.2907;-0.1995;-1.2227;1.1793;0.1156;-0.7551;-0.6675;0.3622;225;180;135;511.157;407.141;380.176;23;14.3922;0.4292;-1.4551;0.6826;0.9355;0.3009
75600008;1;0;3;1;-0.3498;0.6818;-0.7823;-0.8557;-1.8598;0.1806;-0.4194;-1.1771;-0.9734;-0.6576;225;225;90;512.092;448.618;471.246;23;14.3922;0.4292;-1.4551;0.6826;0.9355;0.3009
