"school_id";"gender";"language";"hisced";"grade_rep";"fear_failure";"belonging";"bullied";"home_poss";"cult_poss";"edu_resources";"family_wealth";"ESCS_status";"teacher_support";"emo_sup";"school_changes";"learn_time_math";"learn_time_read";"learn_time_scie";"math";"read";"scie";"class_size";"stud_teach_ratio";"short_edu_mat";"short_edu_staff";"stu_behav";"teach_behav"
5600191;1;0;6;0;0.052;-0.0358;-0.7823;-0.7187;-0.893;-0.4903;-0.5779;-0.5405;-2.1007;1.0346;0;225;180;180;609.592;604.422;607.924;23;9.6712;0.1;0.43;0.6877;0.7083
5600194;0;2;6;0;-1.8939;-0.2649;0.2907;0.642;0.6302;1.1793;0.2875;0.3665;1.314;-0.6576;1;150;200;0;490.882;428.149;424.68;18;10.7967;-0.4907;-0.0963;-0.4182;0.8532
5600194;1;0;6;0;0.9109;-0.9111;1.1928;0.6477;1.3903;0.1806;-0.1094;0.9344;-0.2023;-0.6576;1;150;200;50;489.151;470.751;423.126;18;10.7967;-0.4907;-0.0963;-0.4182;0.8532
5600200;0;0;6;0;-0.4342;0.6818;-0.7823;0.6135;0.7431;1.1793;-0.3092;0.8765;-1.1481;1.0346;0;250;200;150;684.188;678.391;640.34;23;12.1103;-0.6884;0.43;0.0753;0.1104
5600201;0;2;6;0;-0.3799;0.6818;-0.7823;-0.4557;-1.8696;0.0477;-0.0852;-0.3644;-0.7366;-0.6576;1;200;200;150;572.291;626.252;597.85;18;11.8375;-0.6884;0.9861;0.0753;0.4436
5600201;1;2;4;0;0.4637;2.7249;-0.7823;0.0405;-0.4961;1.1793;0.3852;-0.9489;-0.2023;1.0346;2;250;200;150;625.732;576.371;581.422;18;11.8375;-0.6884;0.9861;0.0753;0.4436
5600201;0;2;4;1;-0.3799;-0.3184;-0.7823;-0.3828;0.2871;1.1793;-0.7862;-1.0181;-0.7074;1.0346;0;250;200;150;490.456;536.723;540.56;18;11.8375;-0.6884;0.9861;0.0753;0.4436
5600201;0;2;2;1;1.1911;-1.475;0.2907;0.1433;0.6684;1.1793;-0.2609;-1.3863;-0.7659;1.0346;1;250;200;500;405.948;482.522;438.358;18;11.8375;-0.6884;0.9861;0.0753;0.4436
5600201;1;2;4;1;-0.2006;1.4685;0.2907;-0.4107;-0.4961;0.0477;-0.0393;-0.5082;-0.7857;0.6364;1;200;200;150;534.236;499.939;540.595;18;11.8375;-0.6884;0.9861;0.0753;0.4436
5600203;0;2;6;1;1.8905;-0.2062;-0.7823;-0.0763;-0.7708;1.1793;0.3115;0.628;-0.5778;-0.6576;2;250;200;300;536.81;494.552;535.657;23;11.2028;-1.4212;-1.4551;0.7671;0.6295
