"school_id";"gender";"language";"hisced";"grade_rep";"fear_failure";"belonging";"bullied";"home_poss";"cult_poss";"edu_resources";"family_wealth";"ESCS_status";"teacher_support";"emo_sup";"learn_time_math";"learn_time_read";"learn_time_scie";"math";"read";"scie";"stud_teach_ratio";"short_edu_mat";"short_edu_staff";"stu_behav";"teach_behav";"teach_multicult"
75200141;1;0;6;0;-1.8939;0.8801;-0.7823;3.0059;1.6414;1.1793;2.7291;1.1019;-0.2023;1.0346;325;195;260;468.871;429.582;475.442;8.6857;-1.4212;-0.614;-0.0384;-1.2356;0.6122
75200141;0;3;1;0;-0.3799;-0.2515;-0.7823;-1.5642;-1.8427;-1.3904;-0.8476;-2.5899;1.314;1.0346;240;300;180;325.925;306.968;416.946;8.6857;-1.4212;-0.614;-0.0384;-1.2356;0.6122
75200141;0;3;0;1;-0.687;-0.776;1.1928;-0.9039;-0.0465;0.2646;-1.2717;-2.6077;0.7628;1.0346;140;175;105;360.719;402.474;329.082;8.6857;-1.4212;-0.614;-0.0384;-1.2356;0.6122
75200142;0;0;6;0;-1.059;-1.0523;0.6725;0.3501;-0.4983;1.1793;0.8098;0.765;-1.3345;0.2127;270;180;360;488.869;486.766;509.306;12.0519;-1.4212;0.6551;-0.4515;0.2266;-0.0149
75200142;1;2;4;0;-1.8939;0.9683;0.2308;0.5175;0.403;-0.4903;1.0005;0.3192;1.314;1.0346;240;120;180;616.641;642.286;624.652;12.0519;-1.4212;0.6551;-0.4515;0.2266;-0.0149
75200142;1;0;6;0;0.4637;-1.866;-0.7823;0.4335;-0.4983;-0.4396;1.8596;0.6397;1.314;-0.6576;180;120;120;273.363;359.588;340.544;12.0519;-1.4212;0.6551;-0.4515;0.2266;-0.0149
75200142;0;0;5;0;0.1097;-0.2649;0.2308;-0.027;-0.7441;1.1793;0.4857;-0.3141;-0.7366;0.6364;180;120;60;429.594;510.09;403.088;12.0519;-1.4212;0.6551;-0.4515;0.2266;-0.0149
75200142;1;0;6;0;-0.687;0.6818;-0.7823;1.1041;0.8129;1.1793;0.8074;1.3379;-0.2023;1.0346;180;120;240;569.78;616.921;633.849;12.0519;-1.4212;0.6551;-0.4515;0.2266;-0.0149
75200142;1;2;6;0;-1.8939;-0.9879;1.4812;-1.1573;-1.8427;-0.6853;-0.7217;0.3283;-0.3352;-1.5847;240;160;80;341.117;213.344;326.844;12.0519;-1.4212;0.6551;-0.4515;0.2266;-0.0149
75200142;0;0;6;0;1.8905;0.3241;-0.7823;0.7332;1.2745;1.1793;-0.0085;0.4872;0.7015;1.0346;195;130;195;512.723;479.997;464.908;12.0519;-1.4212;0.6551;-0.4515;0.2266;-0.0149
75200143;0;3;6;0;-0.9295;0.4458;-0.7823;0.3747;1.6414;-0.4903;-0.7678;1.1456;0.7015;0.3622;360;180;450;656.465;655.324;659.995;10.3534;0.4292;-0.614;-0.0956;0.6015;0.6122
75200144;1;2;6;0;-0.2006;0.4458;-0.7823;-1.3734;-1.8427;-1.7306;-0.5074;0.3309;0.4394;0.6364;120;180;180;351.017;321.099;331.383;18.3529;-1.4212;0.0055;0.8544;0.2266;1.2836
75200144;0;3;3;0;-0.13;-0.3184;-0.7823;-0.5073;-1.8427;1.1793;-0.514;-1.1807;0.7628;-0.6576;180;180;240;404.739;347.729;414.665;18.3529;-1.4212;0.0055;0.8544;0.2266;1.2836
75200144;0;2;2;1;0.8794;0.0682;0.7703;0.4246;0.0528;1.1793;0.5751;-0.3257;0.7628;0.3622;180;180;120;367.383;486.156;335.923;18.3529;-1.4212;0.0055;0.8544;0.2266;1.2836
75200144;1;3;6;0;0.4637;-0.9879;1.5082;-0.7604;0.8371;-1.1123;-0.9143;0.8358;-1.1481;-0.6576;165;165;165;338.404;296.828;292.983;18.3529;-1.4212;0.0055;0.8544;0.2266;1.2836
75200144;0;3;1;0;0.5949;-0.8971;1.1928;-1.2564;-0.6881;-1.0752;-0.8851;-2.4692;1.314;0.5029;180;180;180;421.643;437.877;531.22;18.3529;-1.4212;0.0055;0.8544;0.2266;1.2836
75200144;0;3;4;0;-0.3799;-0.8575;-0.7823;-0.9077;-0.7441;-0.9779;-0.3801;-0.2167;1.314;-0.6576;180;180;180;350.128;388.803;333.734;18.3529;-1.4212;0.0055;0.8544;0.2266;1.2836
75200146;0;2;6;0;1.0109;-0.5582;-0.7823;-0.7587;-1.8427;-0.6122;0.0519;0.6212;1.314;-0.6439;180;120;120;575.068;568.048;488.897;14.1724;-1.4212;-0.3163;-0.0384;-0.1791;1.2836
75200146;0;3;6;0;0.4637;-0.3184;-0.7823;0.0667;0.2206;1.1793;-0.2264;-0.2965;1.314;-0.6576;180;120;180;529.774;537.282;571.857;14.1724;-1.4212;-0.3163;-0.0384;-0.1791;1.2836
75200148;1;2;4;0;-0.687;-0.3184;-0.7823;0.1106;-0.303;-0.1357;0.699;-0.8308;-0.2023;-0.6576;180;180;180;516.525;483.107;418.955;8.0938;-0.6844;0.9728;1.7704;1.6385;0.0082
75200148;1;0;6;0;1.4083;-0.9594;1.5082;-0.4802;-0.2671;-1.4469;-0.1651;-0.2738;-1.3684;1.0346;150;150;150;355.222;459.285;393.734;8.0938;-0.6844;0.9728;1.7704;1.6385;0.0082
75200148;0;2;6;0;-1.4242;-0.0599;1.1625;-0.1168;-0.455;1.1793;0.0076;-0.1905;0.2727;1.0346;180;120;60;378.997;313.296;375.484;8.0938;-0.6844;0.9728;1.7704;1.6385;0.0082
75200148;0;2;5;1;1.0944;-0.3389;-0.7823;-0.4054;-0.7441;-0.8449;0.347;0.2517;0.385;1.0346;180;180;240;483.308;382.327;389.397;8.0938;-0.6844;0.9728;1.7704;1.6385;0.0082
75200148;1;2;5;0;-0.687;0.6401;-0.7823;-0.1345;-0.4983;0.0477;0.3601;0.2427;1.314;1.0346;180;180;180;456.369;453.056;391.364;8.0938;-0.6844;0.9728;1.7704;1.6385;0.0082
75200148;1;2;6;0;-0.687;-3.2367;3.8591;0.5136;-0.0027;0.0477;0.9153;0.9731;0.2727;1.0346;210;140;70;469.494;413.3;462.336;8.0938;-0.6844;0.9728;1.7704;1.6385;0.0082
75200148;0;3;6;0;-0.687;-0.8223;2.896;-0.2867;0.3194;-0.6853;-0.411;0.6874;-0.4377;1.0346;180;180;180;452.905;428.593;452.715;8.0938;-0.6844;0.9728;1.7704;1.6385;0.0082
75200148;1;0;6;0;1.0671;-0.6659;-0.7823;-0.3138;-1.2382;-1.2622;0.4747;-0.287;0.4522;-1.0724;180;120;60;595.619;549.15;444.094;8.0938;-0.6844;0.9728;1.7704;1.6385;0.0082
75200148;0;2;4;0;0.052;-0.3184;0.8615;-0.5284;-0.4045;0.0477;-0.4443;-1.0462;0.1597;-0.6576;180;180;120;504.47;539.888;463.277;8.0938;-0.6844;0.9728;1.7704;1.6385;0.0082
75200148;0;2;6;0;-1.8939;0.6818;-0.7823;-0.0664;-0.4983;1.1793;0.2003;0.3125;-0.0862;1.0346;255;255;255;386.549;487.645;445.804;8.0938;-0.6844;0.9728;1.7704;1.6385;0.0082
75200148;1;3;6;0;-1.8939;0.9423;0.2907;-0.3085;-0.7441;1.1793;-0.0715;-0.4671;0.6259;0.6402;180;180;180;486.669;492.682;561.079;8.0938;-0.6844;0.9728;1.7704;1.6385;0.0082
75200148;1;0;6;0;-0.2006;-0.5707;0.7703;-0.245;-0.7441;-0.3792;0.2088;0.9685;-1.1481;-0.6576;165;165;220;386.827;389.884;383.666;8.0938;-0.6844;0.9728;1.7704;1.6385;0.0082
75200148;0;2;6;0;-0.3799;0.3241;-0.7823;-1.0979;-1.8427;-1.2793;-0.4759;-0.5707;0.7015;-0.6576;195;130;195;477.233;442.678;435.184;8.0938;-0.6844;0.9728;1.7704;1.6385;0.0082
75200150;1;2;6;0;0.8794;-0.9437;2.896;-0.2705;0.2923;-1.3525;-0.4835;0.8642;-0.7366;-0.6439;180;180;180;424.797;453.27;441.296;14.4833;1.2478;2.0884;0.8544;0.6015;-0.9058
75200150;0;0;6;1;-1.8939;2.7249;-0.7823;-0.3534;-0.2025;-0.6853;0.2041;-0.2317;1.314;-0.6576;195;195;195;320.483;349.116;348.608;14.4833;1.2478;2.0884;0.8544;0.6015;-0.9058
75200151;0;0;6;0;1.8905;-0.9111;1.8279;1.4926;1.6414;1.1793;0.9398;1.452;-0.3971;0.2127;180;180;60;542.556;535.531;496.34;11.8947;-1.4212;0.2833;-0.3856;0.2266;0.6122
75200152;1;0;5;0;0.4637;0.9782;-0.7823;-0.7608;-1.8427;-0.9779;0.1425;-0.0914;-0.0037;-1.5824;200;150;150;550.933;430.689;491.878;7.5455;-0.2376;0.43;0.4651;0.2266;1.2836
75200153;0;0;6;0;0.4637;0.6818;-0.7823;0.5334;1.0639;1.1793;-0.0859;1.1472;1.314;0.5029;200;200;600;539.575;585.446;475.706;15.0476;-0.949;-0.2968;0.1795;-0.8267;1.2836
75200153;1;3;6;0;0.052;-0.5707;-0.7823;-0.7608;-1.8427;-0.4884;-0.4621;0.4867;1.314;1.0346;300;200;400;563.17;659.743;579.019;15.0476;-0.949;-0.2968;0.1795;-0.8267;1.2836
75200154;0;2;6;0;-0.687;1.4326;-0.7823;0.2385;0.1926;0.0477;0.5184;-0.0402;1.314;1.0346;240;120;480;639.856;576.196;558.073;23.1739;-1.4212;-1.4551;-1.3196;-0.8267;0.0082
75200154;1;0;6;0;-0.4678;-0.4745;0.1462;0.0409;-0.303;-1.1443;1.1698;0.8797;1.314;0.2169;180;180;0;610.013;575.291;587.881;23.1739;-1.4212;-1.4551;-1.3196;-0.8267;0.0082
75200155;0;2;5;0;0.4637;-0.5878;-0.7823;-0.239;-0.7441;1.1793;0.1801;-0.4831;-1.6031;1.0346;180;120;180;340.627;486.377;440.334;11.4902;-1.4212;1.1495;0.8944;1.8697;0.6122
75200155;0;3;4;0;0.1097;-0.4694;0.8615;-1.4612;-1.8427;-0.4396;-1.1347;-0.6619;0.7015;1.0346;180;120;180;391.033;430.069;350.093;11.4902;-1.4212;1.1495;0.8944;1.8697;0.6122
75200155;1;2;4;0;-0.687;2.7249;-0.7823;-0.8382;-1.8427;0.0477;-0.7647;-1.0014;-0.2023;-0.6576;180;120;180;376.868;386.871;369.552;11.4902;-1.4212;1.1495;0.8944;1.8697;0.6122
75200157;0;2;6;0;1.1911;-0.6849;3.8591;0.7103;1.1144;0.2646;0.3899;1.1977;1.314;-0.6576;150;150;150;363.308;218.327;301.226;10.8267;-1.4212;1.5435;0.8153;-1.2356;1.2836
75200157;1;2;6;0;-0.687;0.1436;-0.7823;0.0596;-0.8586;1.1793;0.0655;0.6889;1.314;1.0346;180;1500;180;509.632;439.654;479.809;10.8267;-1.4212;1.5435;0.8153;-1.2356;1.2836
75200157;1;0;3;0;1.0944;-0.1562;1.1625;-0.7089;-0.7441;-0.9191;-0.1341;-1.0122;-0.0037;-0.6576;180;180;180;559.775;465.34;420.712;10.8267;-1.4212;1.5435;0.8153;-1.2356;1.2836
75200157;0;3;5;0;0.5949;0.9683;0.2308;-0.1871;-1.2382;-1.2622;1.0745;0.0361;-0.2023;1.0346;180;180;180;381.067;411.668;401.806;10.8267;-1.4212;1.5435;0.8153;-1.2356;1.2836
75200159;0;2;5;0;-1.8939;1.4685;-0.7823;-0.3775;-0.2025;0.0477;-0.0176;-1.9356;0.061;1.0346;135;270;90;392.43;428.304;363.475;10.8602;1.2478;2.4651;1.3778;1.897;-0.3209
75200159;1;3;2;0;-0.3799;-1.4917;-0.7823;-0.9853;-0.0465;-1.3835;-0.4156;-1.6014;1.314;-0.6576;70;70;70;422.675;327.93;388.155;10.8602;1.2478;2.4651;1.3778;1.897;-0.3209
75200159;1;3;2;0;0.4637;-0.6693;1.1625;-1.1467;-1.8427;-1.8873;-0.2508;-1.9441;1.314;-1.1847;240;240;240;394.492;367.156;364.879;10.8602;1.2478;2.4651;1.3778;1.897;-0.3209
75200159;0;0;2;0;0.1097;0.0544;-0.7823;-1.441;-1.8427;-1.2622;-0.8851;-2.0568;-0.4377;-0.6576;160;120;40;345.174;373.798;417.234;10.8602;1.2478;2.4651;1.3778;1.897;-0.3209
75200159;0;0;5;0;-0.3799;0.4862;-0.7823;-0.5442;-1.8427;-0.4396;0.0952;-0.5414;-0.5973;-0.6576;480;360;120;377.339;415.615;356.852;10.8602;1.2478;2.4651;1.3778;1.897;-0.3209
75200159;0;0;6;0;-1.8939;2.7249;-0.7823;-0.714;-1.8427;-0.4903;-0.0568;0.5637;1.314;1.0346;720;360;120;425.391;456.657;374.273;10.8602;1.2478;2.4651;1.3778;1.897;-0.3209
75200159;0;3;6;0;-1.4242;0.1935;-0.7823;0.5002;0.403;1.1793;0.7194;0.0706;1.314;1.0346;220;165;165;475.943;472.64;437.455;10.8602;1.2478;2.4651;1.3778;1.897;-0.3209
75200159;0;2;6;0;0.4637;-0.0845;0.2907;0.0093;1.0089;0.0477;-0.5873;0.9254;1.314;0.6364;240;180;60;396.908;415.727;375.775;10.8602;1.2478;2.4651;1.3778;1.897;-0.3209
75200159;1;0;3;0;-0.0845;0.3581;1.1928;-0.1125;-0.0465;1.1793;-0.1274;-0.9252;-1.1965;1.0346;240;180;120;534.154;425.291;401.705;10.8602;1.2478;2.4651;1.3778;1.897;-0.3209
75200159;1;3;6;0;0.3335;-1.1206;1.1625;-1.5594;-1.8427;-1.0118;-1.0521;-1.0378;-0.9112;-1.1847;240;180;180;400.456;425.511;413.511;10.8602;1.2478;2.4651;1.3778;1.897;-0.3209
75200159;0;3;5;0;-0.687;0.6818;-0.7823;-0.5047;-0.7441;-0.9779;0.3064;-0.5247;-1.3345;0.5029;180;135;135;382.448;414.872;322.589;10.8602;1.2478;2.4651;1.3778;1.897;-0.3209
75200159;1;2;0;0;1.8905;1.4683;-0.7823;-0.0606;-1.8427;1.1793;0.5081;-2.085;-0.2023;1.0346;400;300;100;292.319;334.741;299.064;10.8602;1.2478;2.4651;1.3778;1.897;-0.3209
75200159;1;3;6;1;-1.8939;-1.0756;-0.7823;-0.0661;1.0089;1.1793;-0.9111;0.9507;0.7628;1.0346;575;575;460;337.952;219.636;349.836;10.8602;1.2478;2.4651;1.3778;1.897;-0.3209
75200159;0;0;6;0;-0.687;-0.6659;1.1625;-0.0912;1.0089;1.1793;-0.9837;0.4325;0.385;-0.6576;240;240;180;358.413;451.743;389.787;10.8602;1.2478;2.4651;1.3778;1.897;-0.3209
75200159;0;2;6;0;-0.2006;-0.1769;-0.7823;-0.9538;-1.2382;-1.3216;-0.2334;-0.5849;1.314;1.0346;280;210;140;465.485;462.138;478.785;10.8602;1.2478;2.4651;1.3778;1.897;-0.3209
75200159;0;3;6;0;0.1097;0.4458;-0.7823;-0.3909;0.1397;-1.0118;-0.4432;0.7317;-1.1481;-0.6576;180;180;180;432.455;461.165;388.152;10.8602;1.2478;2.4651;1.3778;1.897;-0.3209
75200162;1;0;2;0;-0.13;-0.6659;-0.7823;-0.2196;0.1397;-0.4903;-0.7178;-1.0283;-0.4377;-1.1847;320;240;240;621.604;603.4;629.626;14.3611;0.4263;1.0953;-0.335;-0.8267;1.2836
75200162;1;0;6;0;1.8905;0.6818;0.2907;0.4046;1.3363;1.1793;-0.6788;0.4497;-1.1481;-1.0657;195;130;195;657.821;659.9;740.726;14.3611;0.4263;1.0953;-0.335;-0.8267;1.2836
