"school_id";"gender";"language";"hisced";"grade_rep";"fear_failure";"belonging";"bullied";"home_poss";"cult_poss";"edu_resources";"family_wealth";"ESCS_status";"teacher_support";"emo_sup";"learn_time_math";"learn_time_read";"learn_time_scie";"math";"read";"scie";"class_size";"short_edu_mat";"short_edu_staff";"stu_behav";"teach_behav"
4000135;0;2;4;0;-0.3799;0.9517;0.2907;-0.8897;-0.5158;-0.6122;-0.8447;-1.172;-1.174;0.6364;150;150;250;501.142;550.269;530.878;23;0.4698;-0.3872;-0.6033;0.2266
4000135;1;2;4;0;-1.059;-0.2002;0.2907;-0.4435;0.0038;-0.6122;-0.2347;-0.8584;-1.9774;0.0224;150;150;250;501.619;484.36;500.226;23;0.4698;-0.3872;-0.6033;0.2266
4000138;1;2;6;0;-0.687;-0.1562;-0.7823;0.042;0.9421;-0.6122;-0.211;-0.0528;-2.7106;-0.9167;150;150;100;479.778;439.437;545.176;28;-0.6884;0.2626;0.6482;0.2266
4000139;1;2;2;0;0.9109;0.0348;-0.7823;-2.1806;-0.7725;-1.6618;-1.7279;-2.2387;-0.3971;-1.3939;160;160;240;397.602;356.678;373.471;23;-0.3123;0.7951;-0.0155;-0.4697
4000139;1;2;5;0;0.4637;-0.496;1.7669;-1.4289;-0.7148;-0.9649;-0.9022;-0.7401;-1.5794;-1.2947;250;250;250;418.135;355.439;304.516;23;-0.3123;0.7951;-0.0155;-0.4697
4000139;1;0;6;0;0.4637;-0.6464;0.7703;-0.4051;-0.2006;-0.6122;-0.0712;-0.1275;-0.5973;1.0346;150;150;300;344.942;399.369;351.03;23;-0.3123;0.7951;-0.0155;-0.4697
4000139;1;2;1;0;1.4083;0.6879;0.2907;-0.9618;-0.7725;-0.6853;-0.4665;-2.0598;0.7015;1.0346;300;240;180;420.067;406.743;323.802;23;-0.3123;0.7951;-0.0155;-0.4697
4000139;1;2;6;0;-1.8939;-1.0056;-0.7823;1.4086;0.9421;1.1793;1.8584;1.0532;0.4394;1.0346;180;225;0;318.362;369.263;364.93;23;-0.3123;0.7951;-0.0155;-0.4697
4000140;0;2;3;0;-0.687;-0.6464;0.6725;0.2878;0.8775;-0.6122;-0.1124;0.1721;-0.6262;-0.67;150;150;200;517.896;507.136;548.718;28;1.2478;0.2348;0.6121;0.6015
4000140;0;2;6;0;0.855;2.7249;-0.7823;-0.0442;1.3873;1.1793;-1.1461;0.3045;1.314;1.0346;200;150;400;453.88;515.002;431.593;28;1.2478;0.2348;0.6121;0.6015
4000140;0;0;6;0;-0.3498;0.9423;-0.7823;1.202;0.9421;-0.6853;1.2003;1.4873;-1.1176;1.0346;200;150;300;656.589;655.373;676.356;28;1.2478;0.2348;0.6121;0.6015
4000140;1;3;2;0;-0.2006;1.4903;-0.7823;-0.1101;0.1785;-0.1357;-0.0227;-0.5743;-0.5973;1.0346;200;200;150;607.056;612.023;555.564;28;1.2478;0.2348;0.6121;0.6015
4000140;1;3;6;0;-1.4869;0.3241;0.8615;0.5978;1.1335;1.1793;-0.2688;1.0617;-0.3971;0.6402;200;150;500;600.376;554.195;573.203;28;1.2478;0.2348;0.6121;0.6015
4000140;0;0;6;0;0.4637;-0.3184;-0.7823;1.1851;1.8303;1.1793;-0.0526;1.2611;-2.7106;1.0346;150;150;200;609.5;531.299;558.868;28;1.2478;0.2348;0.6121;0.6015
4000140;1;2;4;1;-1.8939;-0.6697;0.2907;-1.3643;-0.7725;-0.1357;-1.5067;-0.5583;-1.3583;1.0346;150;200;150;424.151;388.857;353.299;28;1.2478;0.2348;0.6121;0.6015
4000140;0;2;2;0;-1.8939;0.3018;-0.7823;-1.8327;-1.8538;-1.8124;-1.255;-1.9684;-1.5447;0.6402;150;150;100;434.529;477.484;399.506;28;1.2478;0.2348;0.6121;0.6015
4000141;1;0;4;0;-0.687;1.4685;-0.7823;-1.9258;-0.2006;-1.6618;-1.706;-1.6107;-0.5;-0.6576;200;200;200;462.053;465.045;469.145;23;-0.2376;-0.2755;0.8544;0.2266
4000142;1;2;6;0;1.1911;-3.2367;1.2618;0.3059;1.3873;1.1793;-1.0496;1.1081;-1.5103;-0.6576;150;150;400;641.16;622.119;643.547;23;0.4292;-0.6465;-0.3176;-0.1791
4000142;1;2;6;1;-1.8939;2.7249;-0.7823;1.599;1.8303;-0.6122;1.3791;0.9978;-0.3882;1.0346;200;300;300;421.703;387.492;442.612;23;0.4292;-0.6465;-0.3176;-0.1791
4000142;1;2;6;0;-0.9295;-0.0358;-0.7823;-0.2373;1.1335;-0.1357;-1.2058;0.7839;0.2148;0.2127;150;150;100;614.532;579.401;578.545;23;0.4292;-0.6465;-0.3176;-0.1791
4000142;0;2;4;0;-0.7985;0.9683;-0.7823;-0.4754;-0.7725;1.1793;-0.5032;-0.9463;-1.4387;1.0346;345;345;230;493.443;559.764;533.464;23;0.4292;-0.6465;-0.3176;-0.1791
4000142;1;2;6;0;1.8905;1.4326;0.7703;0.0524;0.6929;-0.1357;-0.4665;0.6143;-1.1408;0.6402;150;150;200;652.571;594.514;623.314;23;0.4292;-0.6465;-0.3176;-0.1791
4000142;0;3;6;0;-0.3799;0.6818;-0.7823;0.522;0.7878;-0.1357;0.214;1.1114;-2.1621;0.6402;200;150;100;488.617;483.295;484.309;23;0.4292;-0.6465;-0.3176;-0.1791
4000144;1;3;2;0;-1.4242;1.4903;-0.7823;-0.3262;-0.2006;1.1793;-0.3917;-1.4789;0.2048;1.0346;300;200;200;467.45;521.251;444.976;18;0.8339;-0.0562;2.8094;0.7985
4000144;1;3;3;0;-1.4869;-1.1071;2.07;-0.3362;0.2288;0.0477;-0.4707;-0.1858;0.7015;1.0346;200;200;200;429.036;439.585;458.615;18;0.8339;-0.0562;2.8094;0.7985
4000145;1;2;6;0;0.4637;-0.8282;0.2907;-0.8686;-0.04;-0.1357;-1.5357;0.4364;0.0703;1.0346;150;150;200;644.821;575.215;611.378;28;-0.2723;0.6847;-0.1348;0.6101
4000145;1;3;6;0;-1.8939;2.7249;-0.7823;0.4439;1.8303;-0.1357;-0.4235;1.0777;-0.3673;1.0346;150;150;200;697.597;730.798;730.608;28;-0.2723;0.6847;-0.1348;0.6101
4000145;1;0;6;0;-0.9823;0.6818;0.2907;0.042;1.1335;-0.6122;-0.9747;0.7047;-0.3882;0.3622;200;150;250;637.043;579.069;679.852;28;-0.2723;0.6847;-0.1348;0.6101
4000146;1;2;5;1;-1.4242;2.7249;-0.7823;0.9457;-0.0367;1.1793;1.9131;0.1032;0.2148;0.6364;200;200;100;368.43;317.265;380.497;13;-1.4212;0.3463;0.4147;-0.5614
