"school_id";"gender";"language";"hisced";"grade_rep";"fear_failure";"belonging";"bullied";"home_poss";"cult_poss";"edu_resources";"family_wealth";"ESCS_status";"teacher_support";"emo_sup";"school_changes";"learn_time_math";"learn_time_read";"learn_time_scie";"math";"read";"scie";"class_size";"stud_teach_ratio";"short_edu_mat";"short_edu_staff";"stu_behav";"teach_behav"
20800253;1;2;5;0;0.0208;-0.2159;0.1462;-0.8723;-0.2562;0.2646;0.2025;-0.9344;-0.3971;0.2127;0;180;180;90;412.316;257.835;267.969;23;11.1412;0.7566;0.43;2.1196;1.1096
20800253;1;0;6;0;0.4637;0.6818;-0.7823;-0.1996;-0.7352;1.1793;0.5278;0.3866;-0.1719;-0.6576;0;315;315;180;524.996;486.35;465.23;23;11.1412;0.7566;0.43;2.1196;1.1096
20800253;1;0;6;0;-0.4342;0.4458;0.2907;0.5268;-0.1113;1.1793;1.5631;0.9345;-0.5488;1.0346;1;200;280;160;500.171;508.78;492.712;23;11.1412;0.7566;0.43;2.1196;1.1096
20800253;0;2;6;0;0.4637;-0.4852;0.7703;0.3653;-0.1448;1.1793;1.4747;0.0175;-0.3673;-2.4468;0;400;560;320;492.699;561.378;438.83;23;11.1412;0.7566;0.43;2.1196;1.1096
20800253;0;0;5;0;-0.0288;0.9683;-0.7823;0.8452;0.1762;1.1793;2.1046;-0.0641;0.1597;-0.6439;0;225;315;180;536.675;575.412;568.992;23;11.1412;0.7566;0.43;2.1196;1.1096
20800253;1;0;6;0;1.8905;2.7249;0.2907;0.1505;-0.6853;1.1793;1.6862;0.5348;1.314;1.0346;0;270;450;180;364.561;415.72;423.22;23;11.1412;0.7566;0.43;2.1196;1.1096
20800253;0;0;6;0;-0.687;-0.3184;-0.7823;0.9397;0.426;1.1793;1.1281;1.3764;-0.2023;-0.6576;0;315;315;180;601.574;653.948;620.864;23;11.1412;0.7566;0.43;2.1196;1.1096
20800253;0;0;6;0;0.8794;-0.849;0.1462;-0.3003;-0.1956;1.1793;0.1142;0.0498;0.7628;1.0346;0;450;540;270;456.379;438.259;425.414;23;11.1412;0.7566;0.43;2.1196;1.1096
20800253;1;0;5;0;0.4637;-0.5582;0.2907;0.1503;-0.2917;1.1793;0.5688;-0.4132;-1.0362;-0.6576;0;270;360;180;430.913;444.478;427.268;23;11.1412;0.7566;0.43;2.1196;1.1096
20800255;1;0;6;0;-0.4342;-0.4415;-0.7823;-1.1818;-1.8222;0.0477;-0.4375;0.412;-1.1975;0.2127;0;270;360;360;576.504;573.302;653.048;18;14.3125;0.7566;-0.0097;-1.4335;0.7083
20800255;1;2;6;0;0.8794;-0.4356;0.2907;-0.4798;-0.2917;0.0477;0.2102;0.8383;1.0786;-1.3914;2;680;510;340;390.651;457.19;425.575;18;14.3125;0.7566;-0.0097;-1.4335;0.7083
20800255;1;0;6;0;0.052;-0.0358;0.2907;-0.6412;-1.8222;0.0477;0.5459;0.6258;-0.7074;-1.1847;0;270;450;450;531.539;562.831;538.457;18;14.3125;0.7566;-0.0097;-1.4335;0.7083
20800255;1;0;6;0;1.1422;-1.1884;1.203;0.3564;-0.166;1.1793;0.492;-0.0855;-0.9306;0.2127;1;360;540;540;490.332;454.106;450.934;18;14.3125;0.7566;-0.0097;-1.4335;0.7083
20800255;0;2;2;0;1.1911;-1.2695;0.7703;0.9039;0.518;1.1793;1.8438;-0.0114;-0.4671;0.6364;0;360;540;360;543.962;537.57;503.107;18;14.3125;0.7566;-0.0097;-1.4335;0.7083
20800255;1;0;5;0;-1.8939;0.705;1.1729;-1.0739;-1.8222;-1.7306;0.8147;-0.8492;-0.4289;-2.4468;0;240;360;240;494.324;484.524;518.876;18;14.3125;0.7566;-0.0097;-1.4335;0.7083
20800255;0;2;6;0;1.4083;0.2243;-0.7823;-1.0352;-1.8222;1.1793;-0.1454;0.2902;0.1597;-1.3914;1;200;400;400;571.895;552.443;587.923;18;14.3125;0.7566;-0.0097;-1.4335;0.7083
20800255;0;0;6;0;-1.1597;-0.1562;-0.7823;0.2202;0.6628;-0.5813;0.0651;-0.2316;-1.8485;0.2127;0;160;240;240;431.458;497.862;494.611;18;14.3125;0.7566;-0.0097;-1.4335;0.7083
20800255;0;0;6;0;1.3423;-1.0898;0.7703;0.4236;0.378;1.1793;0.2044;0.6504;-1.8358;1.0346;0;420;525;315;578.103;583.151;564.317;18;14.3125;0.7566;-0.0097;-1.4335;0.7083
20800256;0;2;6;0;-1.8939;2.7249;-0.7823;0.2172;-0.5184;1.1793;0.6609;0.0297;0.6259;1.0346;0;300;360;120;456.518;417.301;321.978;23;6.7674;-0.0672;-0.0097;0.6058;0.6999
20800256;0;0;4;1;1.3423;0.2929;1.2618;-1.322;-0.7352;-0.6853;-0.2628;-1.5255;1.314;1.0346;1;240;360;240;496.425;458.53;378.756;23;6.7674;-0.0672;-0.0097;0.6058;0.6999
20800256;1;2;2;0;0.4637;-0.3184;-0.7823;1.4218;1.2462;1.1387;1.5576;-0.275;-0.2023;1.0346;1;390;390;260;353.677;232.214;239.997;23;6.7674;-0.0672;-0.0097;0.6058;0.6999
20800256;0;0;2;0;-0.687;-0.3184;1.4721;-1.0889;-1.8222;-0.4903;0.1893;-1.1451;-0.0348;-2.4468;1;420;420;180;394.481;360.286;330.713;23;6.7674;-0.0672;-0.0097;0.6058;0.6999
20800256;0;2;3;0;0.5949;0.3581;-0.7823;-0.1581;-0.5184;1.1793;0.3476;-1.0225;0.6259;1.0346;1;240;300;180;399.122;452.817;424.481;23;6.7674;-0.0672;-0.0097;0.6058;0.6999
20800256;0;2;5;0;1.8905;-0.7314;1.1625;-1.5072;-0.7352;0.0477;-0.8371;-0.1915;0.481;-0.6576;2;360;300;300;541.513;328.12;337.727;23;6.7674;-0.0672;-0.0097;0.6058;0.6999
20800256;1;2;6;0;0.4637;0.1889;-0.7823;-0.2914;-0.7352;0.1806;1.1748;0.7342;-2.7106;0.2169;0;300;360;360;417.061;420.28;408.763;23;6.7674;-0.0672;-0.0097;0.6058;0.6999
20800256;1;2;6;0;-1.8939;0.4986;-0.7823;1.0636;0.9378;1.1793;0.7763;0.9212;-0.2023;1.0346;0;300;360;240;480.449;495.992;415;23;6.7674;-0.0672;-0.0097;0.6058;0.6999
20800256;0;2;2;0;0.176;0.6818;-0.7823;-0.2237;-0.4805;0.0477;0.433;-1.5417;-0.9734;1.0346;1;180;240;180;426.723;507.54;418.365;23;6.7674;-0.0672;-0.0097;0.6058;0.6999
20800256;1;0;2;0;-0.4342;-0.3184;0.2907;-1.5394;-1.8222;-1.6291;0.2025;-1.7785;1.314;-0.6576;0;240;360;360;504.699;330.21;339.377;23;6.7674;-0.0672;-0.0097;0.6058;0.6999
20800261;1;0;6;0;1.8905;-0.1769;1.1625;-0.261;0.5011;-0.4396;-0.0566;0.7602;-2.7106;-2.4468;2;455;520;390;326.184;342.982;358.832;18;6.6963;0.4997;-0.7828;1.0522;0.1104
20800261;0;0;6;0;-0.13;0.6818;-0.7823;-0.4436;0.0479;1.1793;-0.5726;-0.2583;0.039;-0.6576;0;280;350;210;390.091;430.419;446.766;18;6.6963;0.4997;-0.7828;1.0522;0.1104
20800262;1;0;4;0;0.4637;-0.9803;1.0894;0.1061;-0.8391;1.1793;0.5623;0.2123;-1.7803;-1.1847;1;240;360;300;491.677;488.588;472.003;23;8.7407;1.6537;-0.3265;0.6532;-0.9463
20800262;1;0;6;0;-0.7592;0.6987;-0.7823;0.5049;0.426;1.1793;0.6609;0.6415;0.1924;-0.6576;1;240;240;180;531.579;550.439;538.04;23;8.7407;1.6537;-0.3265;0.6532;-0.9463
20800262;0;0;6;0;-0.13;-0.4509;0.7703;-0.4034;-0.7352;1.1793;0.3616;-0.3644;-0.3971;-1.3939;0;240;360;300;460.011;537.155;534.85;23;8.7407;1.6537;-0.3265;0.6532;-0.9463
20800262;1;0;3;0;0.4637;2.7249;-0.7823;-0.6208;-1.8222;0.0477;0.7242;-1.0937;0.1694;-1.1817;1;360;420;300;460.812;524.756;518.818;23;8.7407;1.6537;-0.3265;0.6532;-0.9463
20800262;0;2;6;0;0.4637;-0.0358;-0.7823;-0.6254;-0.7352;0.2646;0.5459;-0.4459;1.314;0.2127;2;195;260;130;453.901;421.179;321.119;23;8.7407;1.6537;-0.3265;0.6532;-0.9463
20800262;1;0;3;0;-0.3009;0.1982;-0.7823;0.4626;0.8489;0.0477;0.2953;-0.8152;-0.4671;-1.0657;1;200;250;150;371.061;376.953;441.587;23;8.7407;1.6537;-0.3265;0.6532;-0.9463
20800263;1;2;6;0;0.1097;0.4766;-0.7823;-0.0323;0.6628;1.1793;-0.5726;0.1137;1.314;1.0346;1;225;315;180;293.984;259.441;262.709;18;11.82;-0.6884;-1.4551;-0.335;-0.9382
20800263;0;2;6;1;1.1911;0.4829;0.2907;-1.0826;-1.8222;1.1793;-0.4961;0.5289;-0.9734;-0.6576;0;225;315;180;421.337;468.461;416.19;18;11.82;-0.6884;-1.4551;-0.335;-0.9382
20800264;0;0;6;0;0.8794;-0.9855;1.5082;-0.4122;-0.7352;-1.195;1.0713;-0.4108;0.385;0.6402;1;275;495;220;331.457;339.459;331.083;23;12.9065;-1.4212;-1.4551;-0.0384;-0.5839
20800264;0;2;6;0;0.4637;-0.4415;-0.7823;-1.0884;-1.2045;-1.3525;0.5445;0.4325;-1.381;-1.3939;1;440;550;220;292.201;345.23;252.771;23;12.9065;-1.4212;-1.4551;-0.0384;-0.5839
20800264;0;0;6;0;-0.687;0.1695;-0.7823;0.0523;0.0753;0.0477;0.9153;-0.1506;0.1694;0.3622;1;225;315;180;414.342;443.315;440.656;23;12.9065;-1.4212;-1.4551;-0.0384;-0.5839
20800264;0;0;6;0;-0.687;-0.0358;0.2907;0.7012;1.923;1.1793;0.1083;0.1553;0.7628;-2.4468;1;225;315;225;556.869;582.002;522.841;23;12.9065;-1.4212;-1.4551;-0.0384;-0.5839
20800265;1;0;4;0;-0.687;-0.3184;-0.7823;-0.791;-1.8222;0.0477;0.1659;-1.0466;-0.2441;0.2127;0;225;360;180;494.868;443.058;372.892;23;14.1176;-1.4212;-1.4551;-1.4335;-2.0013
20800265;1;2;6;0;-0.13;-0.8539;0.8233;0.422;0.342;1.1793;0.9609;1.0717;0.1155;-1.0657;1;225;360;270;697.077;579.826;620.492;23;14.1176;-1.4212;-1.4551;-1.4335;-2.0013
