"school_id";"gender";"immigration";"language";"hisced";"grade_rep";"fear_failure";"belonging";"bullied";"home_poss";"cult_poss";"edu_resources";"family_wealth";"ESCS_status";"teacher_support";"emo_sup";"learn_time_math";"learn_time_read";"learn_time_scie";"math";"read";"scie";"class_size";"stud_teach_ratio";"short_edu_mat";"short_edu_staff";"stu_behav";"teach_behav"
44200005;0;2;0;6;0;-1.8939;1.4685;-0.7823;0.4026;0.2277;-0.1357;0.1637;0.8278;0.4522;0.6364;180;180;270;475.452;406.219;402.883;28;10.2828;-0.5953;0.4554;-0.1493;0.2266
44200005;0;2;2;6;1;-1.4242;0.3349;0.1462;-0.3119;-0.5367;-0.1357;0.0779;0.7775;-2.7106;0.2169;180;180;270;448.381;380.374;429.006;28;10.2828;-0.5953;0.4554;-0.1493;0.2266
44200005;0;2;2;6;0;1.8905;0.0348;0.2907;1.0994;0.5668;1.1793;0.3639;1.3584;0.7628;1.0346;180;180;270;508.992;514.069;496.276;28;10.2828;-0.5953;0.4554;-0.1493;0.2266
44200005;0;3;3;6;0;-1.4869;2.7249;-0.7823;0.0477;0.1346;1.1793;-0.5281;0.1971;-2.1007;0.6364;270;180;270;621.206;681.045;663.114;28;10.2828;-0.5953;0.4554;-0.1493;0.2266
44200005;1;3;2;6;1;0.1097;1.4903;1.2327;-0.1564;-0.126;-0.6853;-0.1859;0.8269;0.1597;-0.6576;180;180;270;640.299;640.496;590.167;28;10.2828;-0.5953;0.4554;-0.1493;0.2266
44200005;0;2;2;6;0;-1.8939;-0.4509;-0.7823;1.1906;1.5766;1.1793;-0.0466;1.4254;-1.7418;1.0346;270;180;270;599.339;621.112;663.123;28;10.2828;-0.5953;0.4554;-0.1493;0.2266
44200005;1;2;2;6;0;-0.2006;0.1634;0.2907;0.4389;0.9217;1.1793;-0.6688;1.0788;-1.7949;1.0346;270;180;270;642.329;677.542;768.796;28;10.2828;-0.5953;0.4554;-0.1493;0.2266
44200005;0;2;2;6;0;0.052;0.3018;0.2907;2.3411;1.5766;1.1793;1.1924;1.8838;-1.3583;0.5029;180;225;270;606.212;688.354;694.503;28;10.2828;-0.5953;0.4554;-0.1493;0.2266
44200005;0;2;2;6;0;1.4083;2.7249;0.8615;0.9072;1.5766;-0.1357;-0.0212;1.4252;-1.8358;0.6402;270;180;270;643.465;728.076;629.595;28;10.2828;-0.5953;0.4554;-0.1493;0.2266
44200005;0;3;3;6;0;0.8794;-0.536;0.1462;0.6714;0.1275;0.0477;0.8403;1.1773;0.7628;0.2169;270;900;270;526.369;628.772;649.585;28;10.2828;-0.5953;0.4554;-0.1493;0.2266
