"school_id" "gender" "immigration" "language" "hisced" "grade_rep" "joy_read" "pisa_difficulty" "competitiveness" "fear_failure" "resilience" "belonging" "bullied" "home_poss" "cult_poss" "edu_resources" "family_wealth" "ESCS_status" "teacher_support" "emo_sup" "learn_time_math" "learn_time_read" "learn_time_scie" "math" "read" "scie"
"44" 75200105 1 1 494 4 1 -6e-04 -1.272 -1.7009 0.1097 -0.7906 0.9264 -0.7823 -1.5238 0.0528 -4.4106 -0.7302 -0.5451 1.314 -1.3914 120 120 120 520.657 457.305 595.734
"45" 75200148 0 3 500 6 0 0.0127 0.6091 -0.2661 -0.3799 -0.0614 0.3241 -0.7823 -1.0979 -1.8427 -1.2793 -0.4759 -0.5707 0.7015 -0.6576 195 130 195 477.233 442.678 435.184
"46" 75200130 0 3 853 0 0 1.2316 0.7192 0.1956 0.8207 0.7872 -0.5878 0.8233 -0.7935 0.4958 -0.4511 -1.1967 -2.561 -2.7106 -0.6576 210 210 210 337.923 412.364 386.259
"47" 75200155 1 1 494 5 0 0.2694 0.7192 -0.2661 1.8905 -0.0614 -0.3184 0.7703 1.2115 0.7639 -0.1357 1.3642 0.5934 0.7015 0.2127 180 120 180 515.209 429.707 482.51
"48" 75200121 1 3 853 5 0 0.1298 -0.2888 NA NA NA NA NA -0.3579 -0.303 0.031 -0.5934 0.3027 1.314 NA NA NA NA 554.642 473.728 478.53
"49" 75200200 1 NA 853 6 0 -0.2204 0.2705 0.1956 -0.4342 2.3693 0.6818 -0.7823 1.5419 1.0639 1.1793 1.6036 1.5647 1.314 1.0346 120 120 120 565.564 478.232 481.853
"50" 75200022 0 1 494 6 0 0.9011 -1.272 0.1956 0.5949 -0.0607 -0.5878 -0.7823 2.418 1.6414 1.1793 1.3485 1.9656 1.314 -0.6576 150 250 150 775.895 789.044 793.81
"51" 75200086 0 1 494 6 0 1.0781 -0.8863 -0.5707 1.8905 -1.4741 -1.0013 -0.7823 0.5941 1.1527 -0.1357 -0.1327 0.7414 -0.4377 -1.5824 135 90 90 652.02 632.677 692.263
"52" 75200151 0 1 494 4 0 1.5998 -0.8863 -1.1146 0.4637 0.3139 -0.9855 0.6725 0.6534 0.2363 -0.6122 0.7215 0.4556 -0.9514 0.3622 180 180 180 635.785 697.786 645.133
"53" 75200157 1 1 494 6 0 0.0127 0.5206 2.0054 0.4637 NA NA NA 0.1076 0.2363 0.0477 0.0482 0.834 1.314 NA NA NA NA 511.367 472.394 402.339
"54" 75200167 1 1 494 6 0 0.235 -0.7816 0.7871 0.4637 1.5527 0.2243 -0.7823 3.1754 1.6414 1.1793 2.7762 2.0933 0.2148 1.0346 240 180 180 587.852 629.341 607.521
"55" 75200060 0 1 494 6 0 -1.4882 0.2705 -0.5229 1.4083 -0.5176 0.9782 -0.7823 -0.118 -1.8427 -0.4903 0.9062 0.388 -0.4377 -0.6576 180 180 180 409.801 478.853 382.679
"56" 75200158 0 1 494 4 0 -1.1538 0.8232 -0.2661 -0.3799 0.7251 -0.0553 0.1462 -1.1854 -0.7441 -1.5746 -0.3802 -1.284 -0.0037 -0.6576 180 180 180 541.448 371.861 451.831
"57" 75200058 0 3 853 5 0 0.5046 0.8232 -0.2661 0.0208 -0.0614 0.0348 0.2907 -0.8881 0.1566 -0.6853 -1.0041 -1.9543 -1.8358 NA NA NA NA 290.19 337.325 372.666
"58" 75200150 1 1 494 6 0 0.1372 0.2705 0.1956 -0.687 -0.0614 -0.6659 -0.7823 0.2412 0.5278 1.1793 0.1198 0.4779 -0.2023 -0.6576 180 180 120 362.056 260.924 250.437
"59" 75200069 1 1 494 6 0 0.0127 0.2705 0.6314 0.4637 -0.4684 0.6818 -0.7823 0.5248 -0.0465 -0.1357 1.3393 1.076 0.7015 0.2127 195 2080 195 560.781 597.729 530.675
"60" 75200081 1 1 494 6 0 -0.2704 1.0453 -0.2661 0.4637 -0.0614 -0.3184 -0.7823 0.5149 -0.8586 0.0477 2.1174 0.3955 -2.7106 -0.6576 260 195 195 379.77 397.711 431.122
