"school_id" "gender" "immigration" "language" "hisced" "grade_rep" "fear_failure" "belonging" "bullied" "home_poss" "cult_poss" "edu_resources" "family_wealth" "ESCS_status" "teacher_support" "emo_sup" "school_changes" "learn_time_math" "learn_time_read" "learn_time_scie" "math" "read" "scie" "class_size" "stud_teach_ratio" "short_edu_mat" "short_edu_staff" "stu_behav" "teach_behav"
"346" 82600018 0 3 2 1 0 0.7405 -0.338 -0.7823 -1.7743 -1.8434 -1.4469 -1.2292 -2.6788 -0.1719 -0.6576 0 300 300 240 493.772 355.55 389.742 23 15.5182 -0.0672 -0.3163 0.1795 0.9355
"348" 82600018 1 2 2 4 0 -0.6133 -0.0323 0.2907 -0.8847 -0.3902 -1.5971 -0.3222 -1.0722 -0.7161 -0.9167 2 360 360 300 541.965 588.373 552.698 23 15.5182 -0.0672 -0.3163 0.1795 0.9355
"352" 82600018 0 1 0 3 0 0.1097 -0.7669 -0.7823 -0.7745 -0.6184 -1.2049 -0.6074 -1.1417 0.7015 -1.3914 0 300 300 300 439.975 541.477 457.72 23 15.5182 -0.0672 -0.3163 0.1795 0.9355
"357" 82600018 0 3 2 0 0 1.8905 -0.4415 0.7703 -0.1323 -0.7397 0.2646 0.2386 -2.5582 -1.415 -1.5824 1 240 240 300 429.8 378.066 295.765 23 15.5182 -0.0672 -0.3163 0.1795 0.9355
"358" 82600018 0 1 0 6 0 1.8905 -0.9879 1.2618 0.3136 0.363 -1.0118 0.4032 1.0034 -0.2023 -0.6576 0 240 240 240 522.282 494.952 574.509 23 15.5182 -0.0672 -0.3163 0.1795 0.9355
"364" 82600019 0 1 0 3 0 0.5949 -1.404 -0.7823 -0.2742 -0.2588 -0.9779 -0.0696 -0.0936 -0.3971 0.2169 0 220 275 220 592.463 621.579 620.876 23 18.9318 0.1 -0.3163 -0.335 0.2266
"366" 82600019 1 1 0 6 0 -0.2006 -0.0553 0.7703 0.5815 -0.5869 0.0477 0.7877 0.9576 1.314 1.0346 0 275 275 330 642.952 584.735 631.523 23 18.9318 0.1 -0.3163 -0.335 0.2266
"367" 82600019 0 1 0 4 0 0.5949 -0.4415 1.7669 -0.6109 -0.9827 -1.5216 0.2219 -0.4171 -0.0771 1.0346 1 250 300 300 376.248 328.149 346.279 23 18.9318 0.1 -0.3163 -0.335 0.2266
"368" 82600019 1 1 0 5 0 -0.4342 -0.0939 0.2907 0.2603 -0.7847 -0.6853 1.1422 0.7203 -0.2023 0.2169 0 250 250 250 517.394 473.768 508.855 23 18.9318 0.1 -0.3163 -0.335 0.2266
"370" 82600019 0 2 0 4 0 1.4083 -0.8997 1.1625 0.9669 0.0782 1.1793 0.9367 0.5425 -0.2023 -1.1847 2 330 330 550 460.349 438.225 369.789 23 18.9318 0.1 -0.3163 -0.335 0.2266
"372" 82600019 0 1 0 4 0 0.1097 -0.8395 0.1462 0.1626 -1.0715 1.1793 0.4683 -0.1014 1.314 -2.4468 1 275 275 385 383.261 357.791 436.818 23 18.9318 0.1 -0.3163 -0.335 0.2266
"374" 82600019 0 1 0 5 0 0.052 -0.4415 0.2308 0.2324 -0.3833 -0.4396 1.1556 0.1811 1.314 1.0346 2 400 450 550 482.314 539.799 441.306 23 18.9318 0.1 -0.3163 -0.335 0.2266
"375" 82600019 0 1 0 3 0 -0.4342 0.9683 -0.7823 0.0877 -1.3625 0.2646 1.0844 0.2533 1.314 1.0346 0 275 275 550 367.125 393.777 331.057 23 18.9318 0.1 -0.3163 -0.335 0.2266
"376" 82600019 0 1 0 4 0 0.8794 -0.7708 0.7703 -0.7116 -1.0715 -2.1153 -0.0782 -0.1929 -0.9514 0.5029 1 275 275 165 390.547 458.754 414.943 23 18.9318 0.1 -0.3163 -0.335 0.2266
"377" 82600019 1 1 0 5 0 0.4637 -0.3184 -0.7823 -0.8924 -1.3625 -0.8243 -0.374 -0.7908 -0.2023 -0.6576 0 300 300 200 506.913 462.756 419.669 23 18.9318 0.1 -0.3163 -0.335 0.2266
"379" 82600019 0 1 0 5 0 1.8905 -1.4683 3.8591 0.5419 -0.3902 0.0477 0.6834 -0.0166 0.0703 -0.6576 0 275 275 330 520.926 598.959 578.477 23 18.9318 0.1 -0.3163 -0.335 0.2266
"382" 82600019 1 1 0 6 0 -0.9295 -0.3184 0.2907 1.0614 -0.4354 0.0477 1.2155 0.8253 0.4394 -1.3914 1 495 495 495 598.833 489.775 532.75 23 18.9318 0.1 -0.3163 -0.335 0.2266
"385" 82600019 0 1 0 3 0 1.1911 0.3241 -0.7823 -0.2796 -0.7397 1.1793 -0.1668 -0.8148 1.314 -1.3914 0 375 375 450 422.107 505.822 513.694 23 18.9318 0.1 -0.3163 -0.335 0.2266
"386" 82600019 1 1 0 6 0 0.1097 0.3124 -0.7823 0.3916 -0.9386 1.1793 0.9613 0.826 0.6259 1.0346 1 330 385 275 465.139 397.747 494.232 23 18.9318 0.1 -0.3163 -0.335 0.2266
"387" 82600019 0 1 0 5 0 -1.8939 -0.8894 1.5346 0.9125 -0.1662 0.0477 1.4577 0.8572 1.314 -0.9122 1 220 275 440 478.542 514.214 486.733 23 18.9318 0.1 -0.3163 -0.335 0.2266
"388" 82600019 0 1 0 5 0 0.4637 -1.2513 1.8279 0.293 -0.1316 -1.1123 0.5898 0.595 -0.2023 -1.3914 0 275 275 330 519.063 443.171 485.18 23 18.9318 0.1 -0.3163 -0.335 0.2266
"451" 82600024 0 1 0 6 0 0.4637 -0.8997 0.1462 0.2547 -0.5792 0.0477 0.3082 0.2026 -0.5575 1.0346 2 360 360 360 542.04 653.13 618.119 28 18.4359 -0.2376 -0.7828 -0.335 0.2266
"452" 82600024 1 1 0 6 0 -0.687 0.0348 -0.7823 1.2817 1.8498 1.1793 0.7233 1.4328 -0.2023 -0.6576 1 250 200 200 436.832 335.695 380.628 28 18.4359 -0.2376 -0.7828 -0.335 0.2266
"453" 82600024 0 1 0 5 0 0.1097 -0.5635 -0.7823 -0.5645 -1.8434 -0.9779 0.435 -0.1683 1.314 1.0346 0 240 240 240 486.442 517.198 517.837 28 18.4359 -0.2376 -0.7828 -0.335 0.2266
"454" 82600024 0 1 0 5 0 0.4637 -0.7814 -0.7823 -0.4232 -0.7397 -1.25 0.5495 -0.1127 1.314 -1.5824 2 180 180 360 442.502 470.139 438.507 28 18.4359 -0.2376 -0.7828 -0.335 0.2266
"455" 82600024 0 1 0 3 0 -0.4342 -0.4509 0.7703 -1.5186 -0.9827 -1.3835 -0.8027 -0.9281 -0.013 1.0346 0 0 0 0 588.911 574.751 618.291 28 18.4359 -0.2376 -0.7828 -0.335 0.2266
"456" 82600024 1 1 0 5 0 0.1097 -0.4381 -0.7823 0.132 -0.53 0.7604 0.3257 0.148 -0.5575 0.2127 0 300 300 300 574.471 589.917 620.781 28 18.4359 -0.2376 -0.7828 -0.335 0.2266
"457" 82600024 0 1 0 4 0 0.8207 -1.1224 0.7703 1.722 -0.0396 1.1793 2.4038 0.1314 0.4394 -0.6576 0 300 300 300 517.486 480.086 448.046 28 18.4359 -0.2376 -0.7828 -0.335 0.2266
"458" 82600024 0 1 0 5 0 -0.2006 -0.7553 -0.7823 0 -0.3902 0.0477 0.1864 -0.3465 1.314 1.0346 1 275 275 440 524.623 528.082 538.049 28 18.4359 -0.2376 -0.7828 -0.335 0.2266
"459" 82600024 1 1 0 3 0 -0.687 0.0348 0.7703 -0.9415 -0.7397 -0.7412 -0.5732 -0.9449 1.314 -0.6576 1 275 275 220 501.623 473.714 481.073 28 18.4359 -0.2376 -0.7828 -0.335 0.2266
