"school_id" "gender" "immigration" "language" "hisced" "grade_rep" "fear_failure" "belonging" "bullied" "home_poss" "cult_poss" "edu_resources" "family_wealth" "ESCS_status" "teacher_support" "emo_sup" "school_changes" "learn_time_math" "learn_time_read" "learn_time_scie" "math" "read" "scie" "class_size" "stud_teach_ratio" "short_edu_mat" "short_edu_staff" "stu_behav" "teach_behav"
"134" 5600005 1 1 1 6 0 -0.4342 0.4704 -0.7823 1.2414 0.9533 1.1793 1.1871 1.504 1.314 -0.6576 0 150 250 300 520.839 480.527 582.947 18 9.23 0.1 -0.614 0.7486 0.1104
"138" 5600005 1 1 1 6 1 1.8905 0.165 0.2907 1.5657 1.3903 1.1793 1.2686 1.3772 1.314 -1.0657 2 150 200 200 455.816 408.822 511.124 18 9.23 0.1 -0.614 0.7486 0.1104
"139" 5600005 1 1 0 3 0 0.052 -0.6913 0.7703 -0.2544 -0.7708 1.1793 -0.0908 -0.9216 0.7628 -1.5824 2 150 150 250 501.582 587.522 625.196 18 9.23 0.1 -0.614 0.7486 0.1104
"141" 5600005 0 1 0 6 0 0.052 0.9683 -0.7823 0.1421 -1.8696 1.1793 1.0206 -0.0684 -1.0955 1.0346 1 150 200 0 471.982 433.576 512.078 18 9.23 0.1 -0.614 0.7486 0.1104
"142" 5600005 0 1 0 4 0 -0.3799 1.4685 -0.7823 -0.7257 -0.4882 0.0477 -1.1002 -1.2731 -0.3971 -0.6576 0 150 150 200 405.682 418.963 415.78 18 9.23 0.1 -0.614 0.7486 0.1104
"143" 5600005 1 1 1 6 0 -1.8939 1.4685 -0.7823 0.4625 -0.7708 1.1793 1.372 1.0075 0.7015 1.0346 1 250 100 300 469.308 468.716 404.946 18 9.23 0.1 -0.614 0.7486 0.1104
"145" 5600005 1 1 0 6 0 -1.8939 -1.4917 -0.7823 2.4265 1.3903 1.1793 1.9216 1.6891 0.7628 -1.5824 2 300 200 400 511.08 465.474 562.689 18 9.23 0.1 -0.614 0.7486 0.1104
"146" 5600005 1 1 0 6 0 0.052 0.0518 -0.7823 0.9213 1.1392 1.1793 0.5509 0.8204 -0.0348 -0.6576 2 250 250 250 429.622 427.671 450.718 18 9.23 0.1 -0.614 0.7486 0.1104
"149" 5600005 1 1 0 6 0 -0.687 -0.9803 -0.7823 0.89 -0.4961 1.1793 2.1032 1.0369 -1.2638 -1.7696 1 150 250 150 482.451 423.621 483.492 18 9.23 0.1 -0.614 0.7486 0.1104
"150" 5600005 1 1 2 6 0 -0.2006 0.0348 1.1625 0.8134 -0.4882 1.1793 1.297 1.0045 -2.0248 -0.6576 0 150 200 200 503.278 431.946 532.675 18 9.23 0.1 -0.614 0.7486 0.1104
