"school_id" "gender" "immigration" "language" "hisced" "grade_rep" "joy_read" "pisa_difficulty" "competitiveness" "fear_failure" "resilience" "belonging" "bullied" "home_poss" "cult_poss" "edu_resources" "family_wealth" "ESCS_status" "teacher_support" "emo_sup" "school_changes" "learn_time_math" "learn_time_read" "learn_time_scie" "math" "read" "scie" "class_size" "stud_teach_ratio" "short_edu_mat" "short_edu_staff" "stu_behav" "teach_behav"
"11" 5600001 0 1 621 4 0 0.0127 -0.5536 -0.2047 0.1097 -0.4684 -0.4415 -0.7823 0.6246 0.3153 1.1793 0.4755 -0.5918 -0.5488 0.6364 0 150 200 350 464.787 582.273 556.646 18 9.9652 -0.0703 -0.3163 0.7671 0.6274
"12" 5600001 0 1 322 4 1 0.5006 0.9166 0.411 1.3423 -0.7095 -0.2188 -0.7823 -0.1243 -0.4961 -1.0118 0.4729 -0.517 0.0483 0.005 NA 100 100 0 391.63 303.378 366.977 18 9.9652 -0.0703 -0.3163 0.7671 0.6274
"13" 5600001 0 1 621 6 0 -0.7553 0.7192 -0.2661 -0.687 0.7872 1.4903 0.2907 1.0669 0.4984 0.1806 1.4395 1.373 -1.5447 -1.1847 1 150 200 200 504.873 467.483 454.485 18 9.9652 -0.0703 -0.3163 0.7671 0.6274
"14" 5600001 0 3 322 6 1 0.0127 0.2705 -0.8705 -0.687 0.3858 0.9683 -0.7823 0.7325 -0.1552 0.7604 1.153 0.7811 -0.0037 1.0346 0 150 200 200 513.486 493.619 550.462 18 9.9652 -0.0703 -0.3163 0.7671 0.6274
"15" 5600001 1 1 322 6 1 -1.9715 1.2958 0.1956 0.5949 1.1497 0.165 -0.7823 -0.1875 -0.2704 -1.0118 0.2438 0.2544 -0.7278 -0.6576 0 200 200 100 581.816 482.42 513.533 18 9.9652 -0.0703 -0.3163 0.7671 0.6274
"16" 5600001 1 2 322 NA 0 -1.557 -0.7816 0.1956 -0.687 0.7251 -0.5635 1.2327 0.3945 -0.2704 1.1793 0.6352 -0.8503 0.4522 0.3622 1 200 200 100 567.208 558.583 630.894 18 9.9652 -0.0703 -0.3163 0.7671 0.6274
"17" 5600001 0 2 322 5 0 0.7789 0.2705 -0.9792 -0.687 -1.7498 -1.3271 -0.7823 -0.4748 -0.2704 -1.0118 -0.303 -0.3866 -0.2023 -1.292 0 200 200 100 524.054 610.808 609.177 18 9.9652 -0.0703 -0.3163 0.7671 0.6274
"18" 5600001 0 1 322 6 1 -0.6896 0.8232 0.1956 -1.4869 -0.096 0.0914 2.0604 -0.3678 -0.4961 -0.1357 -0.0377 -0.392 0.0079 -0.6576 1 100 100 150 390.925 351.27 391.703 18 9.9652 -0.0703 -0.3163 0.7671 0.6274
"19" 5600001 0 2 322 6 0 -2.7114 0.2705 1.1811 0.4637 0.8496 0.3241 -0.7823 -0.0337 -0.1552 -0.1357 0.1783 -0.3508 -0.1605 -1.1847 0 150 200 300 393.4 504.125 366.683 18 9.9652 -0.0703 -0.3163 0.7671 0.6274
"20" 5600001 1 1 621 4 1 -1.7421 0.8232 -2.345 -0.7592 -1.0583 0.2243 0.2907 0.0808 0.311 -0.5668 -0.0501 -0.8434 0.039 0.2169 1 100 100 0 473.753 427.683 461.349 18 9.9652 -0.0703 -0.3163 0.7671 0.6274
"21" 5600001 0 1 621 4 0 -0.7215 1.6524 -0.5229 1.8905 -1.5508 -1.3559 0.2907 0.1068 0.2634 -0.6853 0.1408 -0.7013 -0.3971 1.0346 0 150 200 350 396.901 466.774 458.813 18 9.9652 -0.0703 -0.3163 0.7671 0.6274
"22" 5600001 0 1 322 6 1 -0.9016 1.6524 -0.9792 -0.4342 -0.8109 -0.2649 -0.7823 0.6453 0.8862 -1.0118 0.6171 1.2083 0.1597 -0.6576 0 150 200 200 439.391 417.327 397.243 18 9.9652 -0.0703 -0.3163 0.7671 0.6274
"23" 5600001 0 1 322 6 0 0.0127 0.2705 -0.9792 -0.687 -1.0352 0.0544 -0.7823 -0.3205 0.0181 -0.1357 -0.3641 0.6731 0.7628 1.0346 0 200 200 100 519.872 501.253 566.671 18 9.9652 -0.0703 -0.3163 0.7671 0.6274
"24" 5600001 0 1 322 4 0 -1.0322 0.2705 0.1956 -0.3799 -0.0614 0.6818 0.2907 0.2089 0.8594 1.1793 -0.5059 -0.694 0.4394 -2.4468 0 250 200 500 562.768 580.599 556.892 18 9.9652 -0.0703 -0.3163 0.7671 0.6274
"25" 5600001 0 1 322 6 1 -1.4526 0.2705 -0.5707 0.1097 -0.5176 -0.4509 0.2907 -0.8959 -0.7708 1.1793 -0.926 0.2783 0.0483 -0.6576 NA 250 250 100 527.976 452.094 513.385 18 9.9652 -0.0703 -0.3163 0.7671 0.6274
"26" 5600001 0 3 615 5 1 -0.4556 1.2958 -0.733 -0.687 0.3858 0.6818 -0.7823 0.365 0.1453 -0.1357 0.561 -0.3012 -0.3584 0.2127 1 110 110 0 291.568 342.304 328.418 18 9.9652 -0.0703 -0.3163 0.7671 0.6274
