"school_id" "gender" "immigration" "language" "hisced" "grade_rep" "joy_read" "pisa_difficulty" "competitiveness" "fear_failure" "resilience" "belonging" "bullied" "home_poss" "cult_poss" "edu_resources" "family_wealth" "ESCS_status" "teacher_support" "emo_sup" "learn_time_math" "learn_time_read" "learn_time_scie" "math" "read" "scie" "class_size" "short_edu_mat" "short_edu_staff" "stu_behav" "teach_behav"
"48" 4000002 1 1 148 3 0 -1.352 -1.272 -0.2047 -0.2006 1.6438 0.9517 NA 0.5712 0.5027 -0.6853 1.121 0.4208 0.4394 NA NA NA NA 359.867 323.464 316.997 23 -0.6344 -1.8617 0.6482 0.2169
"49" 4000002 1 1 148 5 0 -0.8176 -1.272 -0.9792 -0.3799 0.4558 0.6818 0.2907 -0.024 0.5522 -1.0118 -0.1251 0.6709 -0.6587 1.0346 200 100 1500 513.873 543.913 543.338 23 -0.6344 -1.8617 0.6482 0.2169
"50" 4000002 1 1 148 5 0 0.1372 0.2705 -0.9792 -0.13 -1.4832 -0.9879 1.1625 0.0988 0.1497 -0.6853 0.7804 -0.4251 -0.1169 -1.5824 720 480 480 332.785 343.508 374.909 23 -0.6344 -1.8617 0.6482 0.2169
"51" 4000002 1 1 148 5 1 -0.1119 -1.272 2.0054 1.8905 2.3693 0.705 2.07 0.0285 0.1497 1.1793 -0.3788 0.2966 -1.0075 1.0346 275 165 0 333.331 325.419 346.434 23 -0.6344 -1.8617 0.6482 0.2169
"52" 4000002 1 1 148 3 0 1.3373 1.0453 0.4352 0.5949 -0.0614 -0.304 -0.7823 -0.3193 -0.0552 -0.6853 0.0029 -0.9306 -1.017 -1.58 250 200 1800 418.742 355.825 390.164 23 -0.6344 -1.8617 0.6482 0.2169
"53" 4000002 1 NA 999 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 474.403 379.549 394.225 23 -0.6344 -1.8617 0.6482 0.2169
"54" 4000002 1 1 148 5 0 0.3568 -0.0545 -1.2263 -0.9295 -1.0352 -0.4509 0.2907 -0.6656 -0.889 -1.5971 -0.0797 -0.1181 -0.0037 -1.8624 0 0 0 524.386 383.601 475.206 23 -0.6344 -1.8617 0.6482 0.2169
"55" 4000002 1 1 148 5 0 NA 2.5529 -0.5229 0.4637 -0.8273 -0.9714 NA -0.5003 -1.8538 -0.1357 0.0343 -0.5087 -2.1621 NA NA NA NA 376.979 213.685 314.101 23 -0.6344 -1.8617 0.6482 0.2169
"56" 4000002 1 2 802 6 0 NA 0.2705 -0.5707 0.4637 -1.0491 0.9683 0.8615 -0.5221 0.0185 -1.0118 -0.4318 -1.2637 -0.5575 -0.6576 200 150 400 565.539 492.661 538.298 23 -0.6344 -1.8617 0.6482 0.2169
"57" 4000002 1 1 148 3 0 -1.3757 -1.272 0.4352 0.4637 -0.0136 0.9331 -0.7823 -0.3595 -0.7725 -0.1357 0.04 -0.8995 -0.2023 1.0346 300 250 300 461.279 506.642 494.821 23 -0.6344 -1.8617 0.6482 0.2169
"58" 4000002 1 1 148 5 0 -1.3532 3.0064 -2.345 -0.0845 -0.3708 -0.7664 -0.7823 0.2042 -0.2215 -0.1357 0.2753 0.2643 1.314 -2.4468 NA 250 250 430.303 352.01 410.316 23 -0.6344 -1.8617 0.6482 0.2169
"59" 4000002 1 1 148 5 1 1.1194 -1.272 2.0054 1.8905 0.5459 -0.0879 -0.7823 -0.1379 -0.2006 -0.1357 0.0972 -0.3283 0.4522 -1.3889 500 150 0 459.428 465.246 502.844 23 -0.6344 -1.8617 0.6482 0.2169
"60" 4000002 1 1 148 5 0 -2.7114 -1.272 0.849 0.1097 -1.3532 -0.9911 -0.7823 -0.1329 -1.2648 -0.6122 0.6662 -0.6215 -2.7106 -1.7696 250 150 500 436.97 373.274 409.758 23 -0.6344 -1.8617 0.6482 0.2169
"61" 4000002 1 2 802 6 0 -1.4882 -1.272 -1.7009 -1.4869 -0.0614 0.6818 -0.7823 0.8609 0.2519 -0.1357 1.3991 1.173 1.314 -1.7671 500 150 600 625.367 487.812 531.104 23 -0.6344 -1.8617 0.6482 0.2169
