"school_id" "gender" "immigration" "language" "hisced" "grade_rep" "joy_read" "pisa_difficulty" "competitiveness" "fear_failure" "resilience" "belonging" "bullied" "home_poss" "cult_poss" "edu_resources" "family_wealth" "ESCS_status" "teacher_support" "emo_sup" "learn_time_math" "learn_time_read" "learn_time_scie" "math" "read" "scie" "stud_teach_ratio" "short_edu_mat" "short_edu_staff" "stu_behav" "teach_behav" "teach_multicult"
"14" 75200001 1 1 494 6 0 0.1331 -1.272 2.0054 0.4637 2.3693 2.7249 0.2308 0.2825 -1.2382 1.1793 0.84 0.9081 1.314 1.0346 480 360 240 462.101 539.047 509.915 12.175 -1.4212 0.7348 -1.5397 -2.0409 -1.5182
"15" 75200001 1 2 494 NA 0 -0.9395 0.9166 2.0054 0.6556 2.3693 -1.4253 -0.7823 0.1759 0.0528 -0.1357 0.2634 NA 1.314 1.0346 300 300 150 417.382 395.733 447.974 12.175 -1.4212 0.7348 -1.5397 -2.0409 -1.5182
"16" 75200001 1 3 853 6 0 0.5385 0.2705 2.0054 -0.7592 -0.0614 0.3241 -0.7823 2.9537 1.6414 1.1793 2.2819 2.1621 1.314 -0.6576 240 240 180 551.56 569.63 654.781 12.175 -1.4212 0.7348 -1.5397 -2.0409 -1.5182
"17" 75200001 0 2 500 6 0 -1.557 1.6524 -1.5513 1.8905 -1.4832 -1.0802 2.896 0.1816 0.0983 -0.5813 0.4404 -0.8348 1.314 -1.3939 300 300 150 436.287 459.99 377.953 12.175 -1.4212 0.7348 -1.5397 -2.0409 -1.5182
"18" 75200001 1 1 494 6 0 -1.9715 0.2705 -1.2708 0.1097 -1.4832 -0.5582 0.7294 0.8042 -0.1364 1.1793 0.7072 1.149 1.314 -1.5824 260 260 195 549.386 485.352 595.639 12.175 -1.4212 0.7348 -1.5397 -2.0409 -1.5182
"19" 75200001 0 3 500 6 0 0.1816 -1.272 0.6314 0.4637 0.3444 -1.866 -0.7823 0.4857 0.6472 1.1793 0.2533 1.0143 -0.7857 1.0346 260 260 195 392.861 493.682 447.959 12.175 -1.4212 0.7348 -1.5397 -2.0409 -1.5182
"20" 75200001 1 1 494 6 0 -0.0297 2.0692 2.0054 0.4637 -0.8018 2.7249 0.2308 0.1379 0.8129 -1.0193 0.3747 -0.0831 -0.6262 -1.5824 480 480 480 421.036 322.687 411.606 12.175 -1.4212 0.7348 -1.5397 -2.0409 -1.5182
"21" 75200001 0 1 494 4 0 2.0787 -1.272 0.1956 0.8207 1.0615 0.0672 -0.7823 0.9352 -0.1364 1.1793 1.1265 0.504 1.314 1.0346 300 300 150 681.393 718.7 756.964 12.175 -1.4212 0.7348 -1.5397 -2.0409 -1.5182
"22" 75200001 0 1 494 4 0 1.2316 -1.272 0.1956 -0.13 1.59 -0.4509 0.2907 1.2721 0.4551 1.1793 1.1265 0.6465 0.7628 1.0346 260 260 130 633.723 639.846 664.339 12.175 -1.4212 0.7348 -1.5397 -2.0409 -1.5182
"23" 75200001 0 1 494 4 1 0.3703 0.2705 -0.8865 -0.687 2.3693 0.0464 0.1462 1.3877 1.1527 -0.3792 1.944 -0.2692 1.314 NA 260 260 130 496.481 550.504 582.917 12.175 -1.4212 0.7348 -1.5397 -2.0409 -1.5182
"24" 75200001 0 1 494 4 0 -0.4389 -1.272 -0.2661 1.1422 -0.0614 -0.6541 -0.7823 0.3509 0.7212 0.6763 0.0105 0.2188 0.7628 1.0346 240 240 180 527.363 531.27 502.492 12.175 -1.4212 0.7348 -1.5397 -2.0409 -1.5182
"25" 75200001 1 3 494 6 0 -0.68 -0.8863 -0.4112 0.4637 -0.0614 0.1971 -0.7823 2.6726 1.3363 1.1793 2.17 1.7777 1.314 -0.6576 240 240 180 531.483 494.511 419.617 12.175 -1.4212 0.7348 -1.5397 -2.0409 -1.5182
"26" 75200001 0 3 494 6 0 0.638 0.7192 0.1956 0.4637 -0.0614 -0.3184 0.2907 -0.0572 -0.4983 0.0477 0.6373 0.8973 1.314 1.0346 350 280 210 402.695 534.726 493.353 12.175 -1.4212 0.7348 -1.5397 -2.0409 -1.5182
"27" 75200001 0 1 494 6 0 1.0123 0.2705 0.1956 -0.687 -0.0614 -0.0633 -0.7823 0.2547 0.1926 1.1793 -0.1829 0.8098 1.314 1.0346 280 210 210 492.565 468.685 488.117 12.175 -1.4212 0.7348 -1.5397 -2.0409 -1.5182
"28" 75200001 0 1 494 5 0 1.2316 0.2705 -0.2047 1.8905 0.3444 -0.3184 0.2907 1.6953 0.8129 0.0477 2.2443 0.9149 -0.2023 1.0346 280 280 280 623.026 690.145 673.03 12.175 -1.4212 0.7348 -1.5397 -2.0409 -1.5182
"29" 75200002 1 1 494 6 0 2.6131 -1.272 2.0054 -1.8939 2.3693 2.7249 -0.7823 -0.7908 1.0089 1.1793 -2.5956 0.2574 1.314 1.0346 315 315 315 533.422 459.647 510.166 14.9231 0.4698 0.8179 -1.5397 -0.1662 0.4113
"30" 75200002 0 1 494 6 0 0.5935 0.2705 0.1956 0.052 -0.1433 0.2243 0.1462 1.0416 0.6472 -0.6853 1.3048 1.2628 -0.2023 -1.3914 180 180 180 644.359 635.588 650.118 14.9231 0.4698 0.8179 -1.5397 -0.1662 0.4113
"31" 75200002 1 1 494 5 0 -1.0322 0.2705 -0.9792 0.4637 -1.0491 -0.3184 -0.7823 1.6504 1.1527 1.1793 1.5084 1.2175 -0.2023 -0.6576 180 180 180 510.46 519.654 467.63 14.9231 0.4698 0.8179 -1.5397 -0.1662 0.4113
"32" 75200002 0 1 494 5 0 -0.1042 -0.7816 2.0054 -1.2319 0.3745 0.7274 -0.7823 0.3555 0.1926 -0.4903 0.7719 0.9439 0.385 1.0346 180 180 180 582.717 516.459 556.333 14.9231 0.4698 0.8179 -1.5397 -0.1662 0.4113
"33" 75200002 0 1 494 6 0 -0.4934 0.5206 -0.5707 -0.4342 0.3444 1.4683 -0.7823 1.6109 1.3363 1.1793 1.0494 1.5661 1.314 0.5029 180 180 180 544.326 646.569 560.5 14.9231 0.4698 0.8179 -1.5397 -0.1662 0.4113
"34" 75200002 1 1 494 6 0 -0.1542 0.2705 -0.2661 -0.687 0.7872 0.0638 -0.7823 0.6632 0.0528 -0.6853 1.5314 1.0545 1.314 1.0346 195 195 195 640.272 619.041 658.782 14.9231 0.4698 0.8179 -1.5397 -0.1662 0.4113
"35" 75200002 1 1 494 6 0 0.1984 0.8232 0.4352 1.8905 -1.5166 -0.8632 -0.7823 -0.1136 0.403 -0.4903 -0.6029 0.8475 -0.2023 0.2127 180 180 180 583.813 557.949 475.051 14.9231 0.4698 0.8179 -1.5397 -0.1662 0.4113
"36" 75200002 1 1 494 6 0 1.5998 -1.272 -2.345 0.1097 1.2011 2.7249 -0.7823 0.997 0.7639 -1.0118 0.9036 1.1135 -1.4252 -0.9122 165 165 165 567.435 525.311 640.062 14.9231 0.4698 0.8179 -1.5397 -0.1662 0.4113
"37" 75200002 0 1 494 6 0 -0.0721 1.1904 -0.9792 0.4637 -0.0614 -0.8223 -0.7823 -0.3761 0.0528 -1.0601 -0.3445 0.5011 -0.3158 1.0346 180 180 180 496.563 556.887 581.482 14.9231 0.4698 0.8179 -1.5397 -0.1662 0.4113
"38" 75200002 1 1 494 6 0 -1.4526 0.8232 0.1956 -0.4342 2.3693 0.705 -0.7823 2.4471 1.3363 1.1793 2.767 2.6232 1.314 1.0346 195 195 195 509.519 469.67 518.745 14.9231 0.4698 0.8179 -1.5397 -0.1662 0.4113
"39" 75200002 0 1 494 6 0 -0.4723 -1.272 0.992 0.052 NA NA NA 0.1315 -0.1046 0.031 -0.1705 0.8295 -0.2023 -0.6576 180 180 180 591.013 552.428 600.374 14.9231 0.4698 0.8179 -1.5397 -0.1662 0.4113
"40" 75200002 0 1 494 6 0 0.1816 -1.272 2.0054 1.3423 1.5527 -1.3472 0.1462 0.8144 0.1926 -0.4396 1.5314 1.2469 0.1924 1.0346 180 180 180 609.753 673.61 630.578 14.9231 0.4698 0.8179 -1.5397 -0.1662 0.4113
"41" 75200002 1 1 494 5 0 -0.2222 1.6524 1.1811 -0.3799 -0.0614 1.4685 -0.7823 1.0904 0.9334 1.1793 0.6713 1.0108 0.4394 -0.6576 180 180 180 516.648 520.878 495.984 14.9231 0.4698 0.8179 -1.5397 -0.1662 0.4113
"42" 75200002 1 1 494 6 0 1.4205 -1.272 0.1956 0.8794 -0.7793 0.5251 -0.7823 1.2527 1.6414 -0.1357 0.6038 1.4008 0.4394 0.5029 180 180 180 603.553 587.832 597.591 14.9231 0.4698 0.8179 -1.5397 -0.1662 0.4113
"43" 75200002 0 1 494 6 0 0.0145 -0.7816 -0.0591 0.5949 0.7251 2.7249 -0.7823 1.7559 1.6414 1.1793 1.0494 1.633 0.4394 0.6402 210 210 210 606.903 616.589 592.328 14.9231 0.4698 0.8179 -1.5397 -0.1662 0.4113
"44" 75200002 1 1 494 6 0 1.01 -1.272 0.3709 0.4637 -0.0614 0.3018 0.8615 1.0306 0.3269 0.1806 1.1598 1.21 1.314 -0.6576 180 180 180 637.918 597.447 622.966 14.9231 0.4698 0.8179 -1.5397 -0.1662 0.4113
"45" 75200002 0 1 494 6 0 0.1667 0.7192 -0.2661 0.4637 -0.7906 -3.2367 -0.7823 1.0589 1.0089 -0.3792 0.9694 1.2366 1.314 1.0346 180 180 180 476.125 476.94 477.842 14.9231 0.4698 0.8179 -1.5397 -0.1662 0.4113
