"school_id" "gender" "immigration" "language" "hisced" "grade_rep" "joy_read" "pisa_difficulty" "competitiveness" "fear_failure" "resilience" "belonging" "bullied" "home_poss" "cult_poss" "edu_resources" "family_wealth" "ESCS_status" "teacher_support" "emo_sup" "school_changes" "learn_time_math" "learn_time_read" "learn_time_scie" "math" "read" "scie" "class_size" "stud_teach_ratio" "short_edu_mat" "short_edu_staff" "stu_behav" "teach_behav"
"35" 82600003 0 1 313 3 0 -1.1285 0.7192 -0.5707 0.8794 -0.8109 -0.8223 1.4721 1.3109 0.0782 1.1793 2.4593 0.2472 0.1694 -1.1847 0 240 240 300 586.005 576.519 626.468 28 22.7887 1.2478 -1.4551 -0.6364 0.2266
"36" 82600003 0 1 313 4 0 -1.4882 1.6524 -0.8279 0.176 -0.7622 -0.6882 0.2308 1.4971 0.7725 0.0477 1.9498 0.7038 0.7628 -0.6576 0 NA NA NA 492.124 504.257 408.629 28 22.7887 1.2478 -1.4551 -0.6364 0.2266
"37" 82600003 1 1 313 6 0 -0.9609 -1.272 0.571 0.1097 -0.8469 -0.4312 -0.7823 0.5214 -0.9827 0.0268 1.2416 0.9953 -0.2023 -0.6576 NA 240 300 420 538.907 532.668 539.98 28 22.7887 1.2478 -1.4551 -0.6364 0.2266
"38" 82600003 1 1 313 5 0 0.2694 -0.4021 1.2643 NA NA NA NA 1.1522 1.8498 0.2646 0.7308 0.9492 0.7015 NA NA NA NA NA 580.239 687.317 647.752 28 22.7887 1.2478 -1.4551 -0.6364 0.2266
"39" 82600003 0 NA 313 4 0 -2.4401 -1.272 2.0054 -1.8939 -1.1984 1.4685 3.8591 0.8725 -0.53 1.1793 1.3934 0.1838 1.314 1.0346 0 220 275 495 419.336 355.373 488.113 28 22.7887 1.2478 -1.4551 -0.6364 0.2266
"40" 82600003 1 1 313 6 0 -0.7413 NA NA -0.9295 0.3858 -0.2649 NA 0.9356 0.0028 -0.1357 1.2343 1.2047 1.314 1.0346 NA 240 240 300 342.68 437.919 441.867 28 22.7887 1.2478 -1.4551 -0.6364 0.2266
"41" 82600003 0 1 313 6 0 -2.7114 -1.272 2.0054 -1.8939 -1.4832 2.7249 NA 1.7899 1.1114 1.1793 1.8365 1.6715 -1.555 -1.3914 NA 325 325 520 332.672 409.038 318.708 28 22.7887 1.2478 -1.4551 -0.6364 0.2266
"42" 82600003 1 1 313 6 0 NA 3.0064 NA NA NA NA 1.1625 -0.9191 -1.8434 -1.5971 0.0663 -0.2942 -0.1605 NA 2 NA NA NA 423.273 386.119 374.662 28 22.7887 1.2478 -1.4551 -0.6364 0.2266
"43" 82600003 0 1 313 6 0 -0.2704 -1.272 -0.6888 0.4637 1.5527 -0.8575 0.7703 3.0772 1.8498 1.1793 2.3046 1.8923 -0.5973 0.6402 0 240 300 540 584.873 519.071 616.553 28 22.7887 1.2478 -1.4551 -0.6364 0.2266
"44" 82600003 1 1 313 6 0 -0.0872 -1.272 2.0054 -1.8939 2.3693 0.9517 -0.7823 1.1115 1.8498 -0.8243 0.6999 1.2299 1.314 1.0346 1 360 360 540 583.741 607.558 561.75 28 22.7887 1.2478 -1.4551 -0.6364 0.2266
"45" 82600003 1 1 313 6 0 0.9271 -1.272 0.6314 0.052 0.7877 0.0589 0.2907 0.6308 -0.7486 1.1793 0.8787 1.0498 1.314 1.0346 1 240 240 420 590.414 596.325 605.84 28 22.7887 1.2478 -1.4551 -0.6364 0.2266
"46" 82600003 1 3 626 6 1 -2.7114 -1.272 -1.1741 1.8905 2.3693 -0.6284 NA -4.6663 -1.8434 -4.4106 -6.7931 -5.0982 -2.7106 NA 2 NA NA NA 282.886 274.832 259.615 28 22.7887 1.2478 -1.4551 -0.6364 0.2266
"47" 82600003 1 1 313 6 0 -0.1542 0.2705 0.1956 -0.4342 NA NA -0.7823 1.2861 0.7725 0.0477 1.5119 1.3349 -0.3971 NA 0 NA NA NA 484.274 476.319 439.548 28 22.7887 1.2478 -1.4551 -0.6364 0.2266
