"school_id" "gender" "immigration" "language" "hisced" "grade_rep" "joy_read" "pisa_difficulty" "competitiveness" "fear_failure" "resilience" "belonging" "bullied" "home_poss" "cult_poss" "edu_resources" "family_wealth" "ESCS_status" "teacher_support" "emo_sup" "learn_time_math" "learn_time_read" "learn_time_scie" "math" "read" "scie" "class_size" "stud_teach_ratio" "short_edu_mat" "short_edu_staff" "stu_behav" "teach_behav" "teach_multicult"
"13" 75600001 1 1 648 5 1 -0.8407 0.2705 -0.6888 -1.059 -0.0614 -0.3184 1.1211 0.889 0.1464 1.1793 1.087 0.4855 -2.0248 0.0116 270 225 135 532.157 500.605 490.741 18 8.92 0.1 0.1077 1.4126 1.3648 -1.0542
"14" 75600001 1 1 493 5 0 0.5385 -1.272 0.4352 -0.9823 2.3693 0.9517 -0.7823 0.1302 -0.1932 -0.6853 0.2618 0.5324 0.2485 1.0346 225 225 180 671.642 648.419 707.303 18 8.92 0.1 0.1077 1.4126 1.3648 -1.0542
"15" 75600001 1 1 648 NA 1 -1.1285 0.2705 -0.6888 -0.4342 -0.4909 -0.2444 -0.7823 0.0906 0.2827 -0.1357 0.369 0.2435 0.2148 -0.6576 225 225 135 545.413 394.536 475.953 18 8.92 0.1 0.1077 1.4126 1.3648 -1.0542
"16" 75600001 0 1 648 4 0 -1.9715 -0.2888 -0.0326 -1.4242 0.3858 0.9517 -0.7823 0.2266 -0.1932 -0.6122 0.7857 -0.1271 -0.7074 1.0346 180 180 180 516.623 535.712 505.279 18 8.92 0.1 0.1077 1.4126 1.3648 -1.0542
"17" 75600001 0 1 648 5 0 1.0781 -0.5536 -0.2047 0.5949 -0.5176 -0.8082 1.7316 0.6204 0.495 -0.1357 0.834 0.7399 -1.1481 0.6402 180 225 180 364.886 434.933 387.18 18 8.92 0.1 0.1077 1.4126 1.3648 -1.0542
"18" 75600001 1 1 648 5 0 -2.7114 -1.272 -2.345 -1.8939 2.3693 2.7249 -0.7823 0.3504 0.6045 1.1793 0.7223 -0.4265 -0.7659 0.5029 675 675 675 332.176 288.874 302.944 18 8.92 0.1 0.1077 1.4126 1.3648 -1.0542
"19" 75600001 0 1 648 3 1 -0.6146 -0.4021 0.1956 0.8794 -1.2068 -0.1903 NA -0.521 -0.3819 -0.1357 -0.5679 -0.4219 -1.7803 NA NA NA NA 575.734 546.108 585.809 18 8.92 0.1 0.1077 1.4126 1.3648 -1.0542
"20" 75600001 1 1 648 4 0 -0.2406 0.7192 2.0054 -0.9295 -1.2148 -0.5459 NA 0.2479 0.4081 1.1793 0.1782 0.1209 -0.3584 NA NA NA NA 525.999 508.851 567.38 18 8.92 0.1 0.1077 1.4126 1.3648 -1.0542
"21" 75600001 1 1 648 5 1 -1.4526 1.0453 -0.9792 -0.687 -0.8109 0.6818 NA 0.177 -0.474 -0.1357 0.6883 0.1251 0.2485 NA NA NA NA 456.897 423.84 426 18 8.92 0.1 0.1077 1.4126 1.3648 -1.0542
"22" 75600001 0 2 140 2 0 -0.1542 -0.7816 0.992 -0.9823 -0.0614 0.1791 -0.7823 0.1433 0.4765 1.1793 -0.1273 -0.6861 -0.2441 -1.06 135 90 225 421.058 387.157 380.062 18 8.92 0.1 0.1077 1.4126 1.3648 -1.0542
"23" 75600001 1 3 667 6 0 0.2161 1.4221 -1.2708 -1.2792 -1.5024 -0.3372 NA -0.5234 0.0213 1.1793 -1.0828 -0.5268 0.1597 NA NA NA NA 371.551 346.333 399.378 18 8.92 0.1 0.1077 1.4126 1.3648 -1.0542
"24" 75600001 1 2 667 1 1 -0.7077 0.8232 -0.6151 0.8207 NA NA NA -1.2478 -0.6541 -1.0118 -0.9256 -2.3465 -0.1512 NA NA NA NA 336.685 343.779 362 18 8.92 0.1 0.1077 1.4126 1.3648 -1.0542
"25" 75600001 1 2 667 3 0 -1.9715 -0.4021 -0.2661 -1.4869 -0.0614 -0.4217 NA -0.3066 -0.3819 0.1806 -0.1098 -0.9252 0.7015 1.0346 180 225 NA 575.843 522.013 577.059 18 8.92 0.1 0.1077 1.4126 1.3648 -1.0542
"26" 75600001 1 2 667 5 0 -1.1538 -1.272 -0.2047 -0.9823 -0.096 1.4685 -0.7823 -0.6232 -0.6541 0.1806 -0.243 -0.5336 -0.1931 0.6402 225 225 180 417.806 445.179 487 18 8.92 0.1 0.1077 1.4126 1.3648 -1.0542
