"school_id" "gender" "immigration" "language" "hisced" "grade_rep" "fear_failure" "belonging" "bullied" "ESCS_status" "teacher_support" "emo_sup" "learn_time_math" "learn_time_read" "learn_time_scie" "math" "read" "scie" "class_size" "stud_teach_ratio" "short_edu_mat" "short_edu_staff" "stu_behav" "teach_behav" "teach_multicult" "private"
"50" 75600002 0 1 0 5 0 0.4637 0.1889 -0.7823 0.7352 0.2485 0.0224 180 180 270 540.549 483.74 498.569 18 7.4348 0.1 -1.4551 -0.0384 0.6101 -1.8443 "private"
"53" 75600002 1 1 0 6 0 -1.4869 0.2863 1.5346 0.8338 0.0703 0.6364 180 135 90 711.555 685.908 778.35 18 7.4348 0.1 -1.4551 -0.0384 0.6101 -1.8443 "private"
"54" 75600002 1 3 2 6 0 1.4083 -1.2403 0.2907 1.3483 -0.4795 -0.6439 180 180 90 604.7 624.124 612.362 18 7.4348 0.1 -1.4551 -0.0384 0.6101 -1.8443 "private"
"55" 75600002 0 1 2 6 0 -1.059 -0.6123 -0.7823 0.6306 -1.5794 -0.6576 180 135 180 543.408 450.174 467.669 18 7.4348 0.1 -1.4551 -0.0384 0.6101 -1.8443 "private"
"56" 75600002 0 1 0 6 1 0.4637 -0.763 -0.7823 1.6539 -0.7074 -0.6576 225 135 180 586.898 595.713 559.813 18 7.4348 0.1 -1.4551 -0.0384 0.6101 -1.8443 "private"
"57" 75600002 1 1 0 5 1 1.8905 2.7249 -0.7823 0.7218 0.7015 -0.6576 225 180 270 619.681 676.188 602.87 18 7.4348 0.1 -1.4551 -0.0384 0.6101 -1.8443 "private"
"58" 75600002 0 2 2 6 0 -0.13 1.4685 -0.7823 1.0912 0.7628 1.0346 180 180 90 641.694 583.289 508.659 18 7.4348 0.1 -1.4551 -0.0384 0.6101 -1.8443 "private"
"59" 75600002 1 3 2 6 0 -1.8939 0.0348 1.1625 0.0035 -0.3882 -0.6439 225 180 180 660.153 518.961 564.147 18 7.4348 0.1 -1.4551 -0.0384 0.6101 -1.8443 "private"
"60" 75600002 1 1 2 6 0 -0.687 -0.6228 -0.7823 1.0248 -0.5488 1.0346 180 180 90 530.072 429.581 458.441 18 7.4348 0.1 -1.4551 -0.0384 0.6101 -1.8443 "private"
"61" 75600002 1 1 0 6 0 -0.2006 0.4766 0.7703 0.9869 -0.3971 -0.6576 180 180 180 631.483 646.612 626.274 18 7.4348 0.1 -1.4551 -0.0384 0.6101 -1.8443 "private"
"62" 75600002 1 2 3 6 0 0.176 2.7249 -0.7823 -0.1849 1.314 1.0346 225 225 135 649.693 618.52 629.294 18 7.4348 0.1 -1.4551 -0.0384 0.6101 -1.8443 "private"
"63" 75600002 0 1 0 6 0 1.8905 -0.9139 0.7703 0.9911 0.2485 -0.6439 180 180 180 594.684 642.548 678.546 18 7.4348 0.1 -1.4551 -0.0384 0.6101 -1.8443 "private"
