"school_id" "gender" "immigration" "language" "hisced" "grade_rep" "fear_failure" "belonging" "bullied" "ESCS_status" "teacher_support" "emo_sup" "school_changes" "learn_time_math" "learn_time_read" "learn_time_scie" "math" "read" "scie" "class_size" "stud_teach_ratio" "short_edu_mat" "short_edu_staff" "stu_behav" "teach_behav" "private"
"357" 82600018 0 3 2 0 0 1.8905 -0.4415 0.7703 -2.5582 -1.415 -1.5824 1 240 240 300 429.8 378.066 295.765 23 15.5182 -0.0672 -0.3163 0.1795 0.9355 "missing"
"358" 82600018 0 1 0 6 0 1.8905 -0.9879 1.2618 1.0034 -0.2023 -0.6576 0 240 240 240 522.282 494.952 574.509 23 15.5182 -0.0672 -0.3163 0.1795 0.9355 "missing"
"364" 82600019 0 1 0 3 0 0.5949 -1.404 -0.7823 -0.0936 -0.3971 0.2169 0 220 275 220 592.463 621.579 620.876 23 18.9318 0.1 -0.3163 -0.335 0.2266 "missing"
"366" 82600019 1 1 0 6 0 -0.2006 -0.0553 0.7703 0.9576 1.314 1.0346 0 275 275 330 642.952 584.735 631.523 23 18.9318 0.1 -0.3163 -0.335 0.2266 "missing"
"367" 82600019 0 1 0 4 0 0.5949 -0.4415 1.7669 -0.4171 -0.0771 1.0346 1 250 300 300 376.248 328.149 346.279 23 18.9318 0.1 -0.3163 -0.335 0.2266 "missing"
"368" 82600019 1 1 0 5 0 -0.4342 -0.0939 0.2907 0.7203 -0.2023 0.2169 0 250 250 250 517.394 473.768 508.855 23 18.9318 0.1 -0.3163 -0.335 0.2266 "missing"
"370" 82600019 0 2 0 4 0 1.4083 -0.8997 1.1625 0.5425 -0.2023 -1.1847 2 330 330 550 460.349 438.225 369.789 23 18.9318 0.1 -0.3163 -0.335 0.2266 "missing"
"372" 82600019 0 1 0 4 0 0.1097 -0.8395 0.1462 -0.1014 1.314 -2.4468 1 275 275 385 383.261 357.791 436.818 23 18.9318 0.1 -0.3163 -0.335 0.2266 "missing"
"374" 82600019 0 1 0 5 0 0.052 -0.4415 0.2308 0.1811 1.314 1.0346 2 400 450 550 482.314 539.799 441.306 23 18.9318 0.1 -0.3163 -0.335 0.2266 "missing"
"375" 82600019 0 1 0 3 0 -0.4342 0.9683 -0.7823 0.2533 1.314 1.0346 0 275 275 550 367.125 393.777 331.057 23 18.9318 0.1 -0.3163 -0.335 0.2266 "missing"
"376" 82600019 0 1 0 4 0 0.8794 -0.7708 0.7703 -0.1929 -0.9514 0.5029 1 275 275 165 390.547 458.754 414.943 23 18.9318 0.1 -0.3163 -0.335 0.2266 "missing"
"377" 82600019 1 1 0 5 0 0.4637 -0.3184 -0.7823 -0.7908 -0.2023 -0.6576 0 300 300 200 506.913 462.756 419.669 23 18.9318 0.1 -0.3163 -0.335 0.2266 "missing"
"379" 82600019 0 1 0 5 0 1.8905 -1.4683 3.8591 -0.0166 0.0703 -0.6576 0 275 275 330 520.926 598.959 578.477 23 18.9318 0.1 -0.3163 -0.335 0.2266 "missing"
"382" 82600019 1 1 0 6 0 -0.9295 -0.3184 0.2907 0.8253 0.4394 -1.3914 1 495 495 495 598.833 489.775 532.75 23 18.9318 0.1 -0.3163 -0.335 0.2266 "missing"
"385" 82600019 0 1 0 3 0 1.1911 0.3241 -0.7823 -0.8148 1.314 -1.3914 0 375 375 450 422.107 505.822 513.694 23 18.9318 0.1 -0.3163 -0.335 0.2266 "missing"
"386" 82600019 1 1 0 6 0 0.1097 0.3124 -0.7823 0.826 0.6259 1.0346 1 330 385 275 465.139 397.747 494.232 23 18.9318 0.1 -0.3163 -0.335 0.2266 "missing"
"387" 82600019 0 1 0 5 0 -1.8939 -0.8894 1.5346 0.8572 1.314 -0.9122 1 220 275 440 478.542 514.214 486.733 23 18.9318 0.1 -0.3163 -0.335 0.2266 "missing"
"388" 82600019 0 1 0 5 0 0.4637 -1.2513 1.8279 0.595 -0.2023 -1.3914 0 275 275 330 519.063 443.171 485.18 23 18.9318 0.1 -0.3163 -0.335 0.2266 "missing"
"451" 82600024 0 1 0 6 0 0.4637 -0.8997 0.1462 0.2026 -0.5575 1.0346 2 360 360 360 542.04 653.13 618.119 28 18.4359 -0.2376 -0.7828 -0.335 0.2266 "missing"
"452" 82600024 1 1 0 6 0 -0.687 0.0348 -0.7823 1.4328 -0.2023 -0.6576 1 250 200 200 436.832 335.695 380.628 28 18.4359 -0.2376 -0.7828 -0.335 0.2266 "missing"
"453" 82600024 0 1 0 5 0 0.1097 -0.5635 -0.7823 -0.1683 1.314 1.0346 0 240 240 240 486.442 517.198 517.837 28 18.4359 -0.2376 -0.7828 -0.335 0.2266 "missing"
"454" 82600024 0 1 0 5 0 0.4637 -0.7814 -0.7823 -0.1127 1.314 -1.5824 2 180 180 360 442.502 470.139 438.507 28 18.4359 -0.2376 -0.7828 -0.335 0.2266 "missing"
"455" 82600024 0 1 0 3 0 -0.4342 -0.4509 0.7703 -0.9281 -0.013 1.0346 0 0 0 0 588.911 574.751 618.291 28 18.4359 -0.2376 -0.7828 -0.335 0.2266 "missing"
"456" 82600024 1 1 0 5 0 0.1097 -0.4381 -0.7823 0.148 -0.5575 0.2127 0 300 300 300 574.471 589.917 620.781 28 18.4359 -0.2376 -0.7828 -0.335 0.2266 "missing"
"457" 82600024 0 1 0 4 0 0.8207 -1.1224 0.7703 0.1314 0.4394 -0.6576 0 300 300 300 517.486 480.086 448.046 28 18.4359 -0.2376 -0.7828 -0.335 0.2266 "missing"
"458" 82600024 0 1 0 5 0 -0.2006 -0.7553 -0.7823 -0.3465 1.314 1.0346 1 275 275 440 524.623 528.082 538.049 28 18.4359 -0.2376 -0.7828 -0.335 0.2266 "missing"
"459" 82600024 1 1 0 3 0 -0.687 0.0348 0.7703 -0.9449 1.314 -0.6576 1 275 275 220 501.623 473.714 481.073 28 18.4359 -0.2376 -0.7828 -0.335 0.2266 "missing"
"460" 82600024 1 1 0 6 0 0.052 -0.4415 1.1625 1.0532 -0.2327 -1.3914 0 275 275 330 573.57 562.555 495.398 28 18.4359 -0.2376 -0.7828 -0.335 0.2266 "missing"
"461" 82600024 0 1 0 6 0 1.8905 -1.314 2.896 0.3794 -0.2023 0.2169 1 275 275 275 300.066 260.602 301.284 28 18.4359 -0.2376 -0.7828 -0.335 0.2266 "missing"
"462" 82600024 1 1 0 3 0 -0.687 2.7249 -0.7823 -0.8443 1.314 1.0346 2 220 220 220 401.125 534.265 452.17 28 18.4359 -0.2376 -0.7828 -0.335 0.2266 "missing"
"463" 82600024 0 1 0 6 0 -0.2006 -0.4415 1.0894 0.5905 -0.2023 1.0346 1 40 40 60 450.342 364.171 365.058 28 18.4359 -0.2376 -0.7828 -0.335 0.2266 "missing"
"464" 82600024 1 1 0 5 0 0.2734 -1.1224 2.07 -1.5856 0.3485 1.0346 2 180 240 420 267.283 423.118 492.305 28 18.4359 -0.2376 -0.7828 -0.335 0.2266 "missing"
"465" 82600024 1 1 0 6 0 -0.687 -0.3184 1.1625 1.1832 0.7015 1.0346 2 240 240 240 540.991 606.799 595.804 28 18.4359 -0.2376 -0.7828 -0.335 0.2266 "missing"
"467" 82600024 0 1 0 3 0 0.1097 0.0348 1.1625 -0.7157 1.314 -0.6576 1 240 240 240 454.447 477.748 476.235 28 18.4359 -0.2376 -0.7828 -0.335 0.2266 "missing"
"470" 82600024 0 1 0 6 0 1.8905 -0.3187 1.2327 0.3802 1.314 1.0346 2 180 300 240 342.023 311.89 411.695 28 18.4359 -0.2376 -0.7828 -0.335 0.2266 "missing"
"471" 82600024 1 1 0 2 0 -1.8939 -0.1762 -0.7823 -0.4958 -1.1481 -1.5824 1 220 220 220 462.756 365.485 471.726 28 18.4359 -0.2376 -0.7828 -0.335 0.2266 "missing"
"472" 82600024 0 1 0 4 0 1.0671 -0.763 0.2907 -1.0554 0.3485 1.0346 0 275 275 275 461.754 526.664 514.409 28 18.4359 -0.2376 -0.7828 -0.335 0.2266 "missing"
"473" 82600024 0 1 0 4 0 1.8905 -0.4415 -0.7823 -0.5553 -0.4082 1.0346 0 240 300 300 559.789 518.12 501.715 28 18.4359 -0.2376 -0.7828 -0.335 0.2266 "missing"
"475" 82600024 1 1 0 3 0 0.1097 -0.0358 0.2907 -1.1409 0.4394 0.5029 0 300 300 300 464.77 490.881 511.047 28 18.4359 -0.2376 -0.7828 -0.335 0.2266 "missing"
"476" 82600024 1 1 0 5 0 0.0208 -0.9298 0.7703 -1.8294 -0.3673 -0.6576 0 420 420 360 583.935 603.058 625.594 28 18.4359 -0.2376 -0.7828 -0.335 0.2266 "missing"
"478" 82600024 0 1 0 3 0 0.4637 -0.6659 1.1928 -0.9979 -0.2023 0.2127 0 220 220 220 513.868 517.702 477.404 28 18.4359 -0.2376 -0.7828 -0.335 0.2266 "missing"
"513" 82600027 1 1 0 4 0 1.8905 -1.4484 1.2327 -1.3249 -0.7453 1.0346 0 240 240 300 452.308 525.539 525.337 28 17.1429 1.6863 1.2432 1.2343 1.4533 "missing"
"514" 82600027 1 1 0 2 0 1.8905 -1.186 0.6725 -0.6171 -0.5575 1.0346 0 240 240 300 518.274 537.748 541.765 28 17.1429 1.6863 1.2432 1.2343 1.4533 "missing"
"515" 82600027 0 1 0 5 0 1.4083 0.1837 -0.7823 0.1577 0.7628 0.2169 0 240 240 240 638.375 605.224 617.206 28 17.1429 1.6863 1.2432 1.2343 1.4533 "missing"
"516" 82600027 0 1 0 5 0 0.176 2.7249 0.2308 0.5975 -0.5575 1.0346 0 240 240 240 424.93 387.327 297.696 28 17.1429 1.6863 1.2432 1.2343 1.4533 "missing"
"517" 82600027 0 1 0 5 0 -0.729 -0.6477 0.8615 -0.3201 1.314 1.0346 0 240 240 240 460.136 471.718 366.15 28 17.1429 1.6863 1.2432 1.2343 1.4533 "missing"
"518" 82600027 1 1 0 6 0 1.4083 -1.866 1.2618 0.2735 -0.5284 1.0346 1 240 240 180 517.198 528.12 498.155 28 17.1429 1.6863 1.2432 1.2343 1.4533 "missing"
"519" 82600027 1 1 0 6 0 0.4637 -1.3152 1.7669 1.0079 0.385 1.0346 0 280 280 490 679.656 578.446 522.703 28 17.1429 1.6863 1.2432 1.2343 1.4533 "missing"
"521" 82600027 0 1 0 6 0 0.1097 0.6818 0.2907 0.3428 -0.5575 1.0346 0 240 240 360 515.775 486.031 513.025 28 17.1429 1.6863 1.2432 1.2343 1.4533 "missing"
"523" 82600027 0 2 0 4 0 0.4637 -0.3184 0.7703 -0.3716 -0.0348 1.0346 0 240 240 360 568.718 662.365 564.851 28 17.1429 1.6863 1.2432 1.2343 1.4533 "missing"
"526" 82600027 0 1 0 6 0 -0.687 0.0304 -0.7823 0.9513 1.314 -0.6576 0 240 240 360 617.142 637.82 569.196 28 17.1429 1.6863 1.2432 1.2343 1.4533 "missing"
"527" 82600027 0 1 0 5 0 0.4637 -0.4415 1.8279 -0.685 -0.2251 1.0346 0 240 240 240 503.708 520.183 519.866 28 17.1429 1.6863 1.2432 1.2343 1.4533 "missing"
"528" 82600027 0 1 0 4 0 -0.0845 -0.4415 0.7703 -0.8709 0.2384 1.0346 1 240 240 420 485.914 461.981 539.971 28 17.1429 1.6863 1.2432 1.2343 1.4533 "missing"
"529" 82600027 0 1 0 6 0 -1.1858 2.7249 -0.7823 0.8823 1.314 -2.4468 0 180 180 240 388.44 471.182 340.888 28 17.1429 1.6863 1.2432 1.2343 1.4533 "missing"
"530" 82600027 1 2 0 6 0 1.4083 0.8801 0.8233 -1.6918 -0.2023 0.5029 1 240 240 240 439.294 433.957 469.204 28 17.1429 1.6863 1.2432 1.2343 1.4533 "missing"
"531" 82600027 0 1 2 6 0 0.4637 0.3018 -0.7823 0.605 1.314 1.0346 0 240 240 420 454.645 529.997 490.307 28 17.1429 1.6863 1.2432 1.2343 1.4533 "missing"
"532" 82600027 1 1 0 6 0 -0.687 -0.4415 -0.7823 -1.0758 1.314 -0.6576 0 240 240 240 386.37 427.496 353.876 28 17.1429 1.6863 1.2432 1.2343 1.4533 "missing"
"533" 82600027 0 3 2 4 0 0.5949 -0.4415 0.2907 -0.5101 1.314 0.6402 1 220 220 220 442.445 424.282 457.81 28 17.1429 1.6863 1.2432 1.2343 1.4533 "missing"
"534" 82600027 0 1 0 5 0 1.4083 -0.5707 -0.7823 -0.2541 1.314 -1.3939 0 240 240 240 511.832 525.232 469.782 28 17.1429 1.6863 1.2432 1.2343 1.4533 "missing"
"535" 82600027 0 1 0 5 0 1.8905 -0.3184 0.2907 -0.082 0.6259 -0.6576 0 180 240 240 342.769 402.752 454.127 28 17.1429 1.6863 1.2432 1.2343 1.4533 "missing"
"536" 82600027 0 1 0 6 0 1.8905 -1.6297 1.1928 1.015 -0.6262 -0.6576 0 240 240 240 448.691 474.727 559.183 28 17.1429 1.6863 1.2432 1.2343 1.4533 "missing"
"538" 82600027 0 1 0 6 0 -0.687 -0.5635 -0.7823 0.6933 -0.8266 1.0346 0 200 150 150 408.646 459.926 450.563 28 17.1429 1.6863 1.2432 1.2343 1.4533 "missing"
"539" 82600027 0 1 0 3 0 1.0671 -0.4415 0.2907 -0.391 -0.5575 1.0346 0 240 240 240 429.99 510.897 463.361 28 17.1429 1.6863 1.2432 1.2343 1.4533 "missing"
"540" 82600027 0 1 0 5 0 -0.4342 0.3018 -0.7823 -0.4979 1.314 1.0346 0 240 240 240 535.306 468.294 445.395 28 17.1429 1.6863 1.2432 1.2343 1.4533 "missing"
"541" 82600027 1 2 0 3 0 -1.0109 2.7249 -0.7823 -0.4371 1.314 1.0346 0 240 240 240 545.068 487.197 546.178 28 17.1429 1.6863 1.2432 1.2343 1.4533 "missing"
"547" 82600028 1 2 0 6 0 -1.8939 0.3241 0.6725 0.3532 1.314 -0.6576 0 240 240 240 522.406 427.977 375.744 23 14.7368 0.1 0.43 -0.0384 -0.1695 "missing"
"551" 82600028 1 3 2 5 0 1.0671 0.4402 0.7703 -0.9329 -1.415 -0.6576 0 840 700 980 426.52 505.448 459.202 23 14.7368 0.1 0.43 -0.0384 -0.1695 "missing"
"554" 82600028 1 3 2 6 0 0.8794 -0.2444 1.1211 -0.0393 0.0297 1.0346 2 275 275 165 397.424 321.903 374.084 23 14.7368 0.1 0.43 -0.0384 -0.1695 "missing"
