"school_id" "gender" "immigration" "language" "hisced" "grade_rep" "fear_failure" "belonging" "bullied" "ESCS_status" "teacher_support" "emo_sup" "learn_time_math" "learn_time_read" "learn_time_scie" "math" "read" "scie" "class_size" "short_edu_mat" "short_edu_staff" "stu_behav" "teach_behav" "private"
"109" 4000005 0 1 0 5 0 0.8794 -0.3246 -0.7823 0.5762 -1.158 -0.6576 100 150 150 595.819 650.008 626.914 23 -1.4212 -0.2792 0.3894 0.5672 "missing"
"110" 4000005 0 1 0 5 0 -0.9823 1.4903 -0.7823 -0.6346 -1.1481 1.0346 100 150 300 607.091 611.997 604.05 23 -1.4212 -0.2792 0.3894 0.5672 "missing"
"111" 4000005 0 1 0 3 0 1.8905 0.3241 0.2907 -1.0071 -1.7803 -0.6576 100 150 200 426.336 492.755 473.882 23 -1.4212 -0.2792 0.3894 0.5672 "missing"
"112" 4000005 0 1 0 3 0 -1.1597 0.9517 -0.7823 0.2043 -1.5925 1.0346 100 150 200 626.555 614.584 606.71 23 -1.4212 -0.2792 0.3894 0.5672 "missing"
"113" 4000005 0 1 0 3 0 -1.2792 2.7249 0.2907 -1.216 -0.8998 -1.3939 100 150 150 523.089 529.266 490.632 23 -1.4212 -0.2792 0.3894 0.5672 "missing"
"114" 4000005 0 1 0 6 0 0.0208 1.4903 -0.7823 0.4009 0.7628 -0.6576 110 165 220 463.56 511.33 516.548 23 -1.4212 -0.2792 0.3894 0.5672 "missing"
"115" 4000005 0 1 0 6 0 0.8207 0.6818 -0.7823 0.3779 -1.7418 0.3586 100 150 100 512.42 548.869 507.805 23 -1.4212 -0.2792 0.3894 0.5672 "missing"
"116" 4000005 0 1 0 5 0 -1.4869 0.9423 -0.7823 0.1801 -0.6965 -2.0851 150 150 150 607.505 654.56 666.16 23 -1.4212 -0.2792 0.3894 0.5672 "missing"
"118" 4000005 0 3 2 6 0 1.8905 2.7249 -0.7823 0.6323 -0.8998 -0.6576 100 150 100 570.303 502.905 474.553 23 -1.4212 -0.2792 0.3894 0.5672 "missing"
"119" 4000005 0 1 0 3 0 -0.13 0.6576 -0.7823 -0.4546 -0.9422 0.5029 100 150 200 452.443 525.415 487.656 23 -1.4212 -0.2792 0.3894 0.5672 "missing"
"121" 4000005 0 1 0 4 0 -1.4869 2.7249 0.7703 -0.2829 0.0838 1.0346 100 150 100 572.127 530.662 540.921 23 -1.4212 -0.2792 0.3894 0.5672 "missing"
